,Unnamed: 0,Order_id,Order_item_id,Product_id,Seller_id,Price,Freight_value
0,0,ORDER_75477,1,PRODUCT_23128,SELLER_0452,58.9,13.29
1,1,ORDER_63604,1,PRODUCT_24351,SELLER_0414,239.9,19.93
2,2,ORDER_05566,1,PRODUCT_20226,SELLER_1637,199.0,17.87
3,3,ORDER_04632,1,PRODUCT_07878,SELLER_1445,199.9,18.14
4,4,ORDER_61452,1,PRODUCT_03505,SELLER_0581,21.9,12.69
5,5,ORDER_87308,1,PRODUCT_19920,SELLER_2649,19.9,11.85
6,6,ORDER_41844,1,PRODUCT_06202,SELLER_0610,810.0,70.75
7,7,ORDER_81670,1,PRODUCT_02419,SELLER_0061,145.95,11.65
8,8,ORDER_73643,1,PRODUCT_25262,SELLER_1037,53.99,11.4
9,9,ORDER_42282,1,PRODUCT_12836,SELLER_1275,59.99,8.88
10,10,ORDER_19931,1,PRODUCT_08596,SELLER_2194,74.0,23.32
11,11,ORDER_47740,1,PRODUCT_04082,SELLER_0417,49.9,13.37
12,12,ORDER_47740,2,PRODUCT_04082,SELLER_0417,49.9,13.37
13,13,ORDER_37684,1,PRODUCT_08384,SELLER_1375,639.0,11.34
14,14,ORDER_86002,1,PRODUCT_27073,SELLER_0891,144.0,8.77
15,15,ORDER_88028,1,PRODUCT_01261,SELLER_2222,99.0,13.71
16,16,ORDER_31504,1,PRODUCT_02476,SELLER_0941,25.0,16.11
17,17,ORDER_29498,1,PRODUCT_21986,SELLER_1423,47.9,8.88
18,18,ORDER_30982,1,PRODUCT_06330,SELLER_0881,21.99,11.85
19,19,ORDER_77089,1,PRODUCT_14832,SELLER_1059,119.99,44.4
20,20,ORDER_72113,1,PRODUCT_24412,SELLER_0713,49.0,15.1
21,21,ORDER_10656,1,PRODUCT_23942,SELLER_0491,48.9,16.6
22,22,ORDER_12415,1,PRODUCT_15136,SELLER_1034,219.9,16.98
23,23,ORDER_68783,1,PRODUCT_24013,SELLER_0585,289.0,26.33
24,24,ORDER_00459,1,PRODUCT_12030,SELLER_0983,109.9,25.51
25,25,ORDER_26578,1,PRODUCT_23242,SELLER_1599,27.9,7.94
26,26,ORDER_37421,1,PRODUCT_04233,SELLER_0459,119.9,17.32
27,27,ORDER_81187,1,PRODUCT_10728,SELLER_0565,397.0,24.65
28,28,ORDER_87091,1,PRODUCT_19532,SELLER_1401,59.9,23.35
29,29,ORDER_32079,1,PRODUCT_19082,SELLER_0199,21.33,15.1
30,30,ORDER_32079,2,PRODUCT_19082,SELLER_0199,21.33,15.1
31,31,ORDER_32079,3,PRODUCT_19082,SELLER_0199,21.33,15.1
32,32,ORDER_37527,1,PRODUCT_14697,SELLER_2455,16.5,14.1
33,33,ORDER_06921,1,PRODUCT_14791,SELLER_0290,21.9,15.1
34,34,ORDER_80874,1,PRODUCT_23558,SELLER_0241,39.0,16.11
35,35,ORDER_66477,1,PRODUCT_25511,SELLER_2703,49.75,20.8
36,36,ORDER_63120,1,PRODUCT_18569,SELLER_1132,809.1,44.29
37,37,ORDER_19034,1,PRODUCT_05547,SELLER_1974,99.99,13.72
38,38,ORDER_71181,1,PRODUCT_19532,SELLER_1401,59.9,19.95
39,39,ORDER_23881,1,PRODUCT_23679,SELLER_2076,24.89,17.63
40,40,ORDER_23881,2,PRODUCT_23679,SELLER_2076,24.89,17.63
