,Order_id,Payment_sequential,Payment_type,Payment_installments,Payment_value
0,ORDER_66617,1,credit_card,8,99.33
1,ORDER_86954,1,credit_card,1,24.39
2,ORDER_38852,1,credit_card,1,65.71
3,ORDER_57443,1,credit_card,8,107.78
4,ORDER_11244,1,credit_card,2,128.45
5,ORDER_08350,1,credit_card,2,96.12
6,ORDER_69024,1,credit_card,1,81.16
7,ORDER_50586,1,credit_card,3,51.84
8,ORDER_79845,1,credit_card,6,341.09
9,ORDER_23057,1,boleto,1,51.95
10,ORDER_37349,1,credit_card,8,188.73
11,ORDER_45238,1,credit_card,1,141.9
12,ORDER_48369,1,credit_card,1,75.78
13,ORDER_13809,1,credit_card,5,102.66
14,ORDER_19146,1,credit_card,4,105.28
15,ORDER_14788,1,credit_card,10,157.45
16,ORDER_09083,1,credit_card,1,98.94
17,ORDER_49703,1,credit_card,4,244.15
18,ORDER_29143,1,credit_card,3,136.71
19,ORDER_79524,1,credit_card,4,47.69
20,ORDER_67409,1,credit_card,2,170.57
21,ORDER_75807,1,credit_card,4,67.5
22,ORDER_43350,1,boleto,1,330.66
23,ORDER_49104,2,voucher,1,45.17
24,ORDER_21993,1,credit_card,2,541.0
25,ORDER_03694,1,boleto,1,283.34
26,ORDER_56971,1,credit_card,1,13.78
27,ORDER_01095,1,credit_card,1,26.58
28,ORDER_58936,1,credit_card,1,89.68
29,ORDER_40569,1,credit_card,1,65.09
30,ORDER_73576,1,credit_card,1,173.84
31,ORDER_86425,1,credit_card,1,103.49
32,ORDER_44332,1,credit_card,1,64.03
33,ORDER_75503,1,credit_card,3,157.15
34,ORDER_86830,1,boleto,1,130.88
35,ORDER_28470,1,credit_card,2,47.72
36,ORDER_80173,1,credit_card,8,117.74
37,ORDER_59562,1,credit_card,1,266.16
38,ORDER_45142,1,boleto,1,31.38
39,ORDER_71974,1,credit_card,1,121.49
40,ORDER_28970,1,credit_card,1,32.0
41,ORDER_39488,1,credit_card,5,65.71
42,ORDER_06828,1,credit_card,4,278.22
43,ORDER_57426,1,credit_card,4,91.66
44,ORDER_63728,1,credit_card,1,132.51
45,ORDER_47292,1,credit_card,4,542.66
46,ORDER_07934,1,boleto,1,166.04
47,ORDER_72218,1,boleto,1,368.98
48,ORDER_68351,1,credit_card,2,113.2
49,ORDER_06789,1,credit_card,3,99.43
50,ORDER_05129,1,credit_card,4,43.77
51,ORDER_56500,1,credit_card,2,68.49
52,ORDER_87621,1,credit_card,8,387.8
53,ORDER_12764,1,boleto,1,84.14
54,ORDER_35680,1,boleto,1,90.05
55,ORDER_32434,1,credit_card,1,67.88
56,ORDER_82981,1,boleto,1,89.63
57,ORDER_80407,1,credit_card,2,78.3
58,ORDER_35888,1,voucher,1,50.8
59,ORDER_20937,1,credit_card,1,34.0
60,ORDER_16795,1,boleto,1,77.1
61,ORDER_65246,1,credit_card,8,402.42
62,ORDER_62454,2,voucher,1,57.53
63,ORDER_87219,1,credit_card,3,44.01
64,ORDER_66420,1,credit_card,3,187.51
65,ORDER_14322,1,credit_card,3,77.7
66,ORDER_39927,1,credit_card,1,48.68
67,ORDER_50043,1,credit_card,1,77.29
68,ORDER_40272,1,credit_card,8,117.71
69,ORDER_81428,1,credit_card,3,169.34
70,ORDER_68109,1,credit_card,1,37.61
71,ORDER_13559,1,credit_card,1,13.8
72,ORDER_16967,1,debit_card,1,227.12
73,ORDER_23490,1,credit_card,3,34.78
74,ORDER_24292,1,credit_card,10,342.56
75,ORDER_21715,1,credit_card,7,73.34
76,ORDER_82265,1,credit_card,4,117.85
77,ORDER_71690,1,credit_card,1,48.62
78,ORDER_17243,1,credit_card,1,53.99
79,ORDER_38999,1,credit_card,1,51.14
80,ORDER_45424,1,credit_card,2,121.45
81,ORDER_29330,1,credit_card,1,73.34
82,ORDER_72795,1,credit_card,10,117.68
83,ORDER_73427,1,credit_card,1,56.77
84,ORDER_08095,1,credit_card,2,115.59
85,ORDER_52930,1,credit_card,6,60.07
86,ORDER_24309,1,credit_card,1,27.27
87,ORDER_04180,1,boleto,1,32.15
88,ORDER_03425,1,credit_card,3,195.71
89,ORDER_71017,2,voucher,1,43.12
90,ORDER_69622,1,credit_card,3,34.09
91,ORDER_40426,1,credit_card,1,40.99
92,ORDER_58343,1,credit_card,3,71.99
93,ORDER_64810,1,boleto,1,47.0
94,ORDER_63534,1,credit_card,3,81.78
95,ORDER_03807,1,credit_card,3,231.45
96,ORDER_81458,1,credit_card,7,144.2
97,ORDER_44662,1,credit_card,10,285.79
98,ORDER_39762,1,credit_card,2,176.7
99,ORDER_10303,1,credit_card,8,134.56
100,ORDER_59702,1,credit_card,4,96.98
101,ORDER_60604,1,credit_card,2,110.03
102,ORDER_68780,1,credit_card,1,17.78
103,ORDER_23344,1,credit_card,1,44.0
104,ORDER_68667,1,credit_card,4,46.63
105,ORDER_52817,1,boleto,1,52.21
106,ORDER_17396,1,credit_card,2,61.77
107,ORDER_16380,1,boleto,1,121.88
108,ORDER_44566,1,credit_card,1,75.75
109,ORDER_14599,1,credit_card,1,130.22
110,ORDER_22714,1,credit_card,3,57.53
111,ORDER_17448,1,credit_card,7,76.02
112,ORDER_45212,1,boleto,1,90.17
113,ORDER_58898,1,credit_card,1,31.0
114,ORDER_83411,1,credit_card,10,106.77
115,ORDER_21469,1,voucher,1,163.25
116,ORDER_02757,1,boleto,1,233.66
117,ORDER_26599,1,credit_card,1,163.08
118,ORDER_43116,1,credit_card,7,186.72
119,ORDER_46611,2,voucher,1,30.0
120,ORDER_37833,1,credit_card,4,97.28
121,ORDER_72762,1,credit_card,1,48.61
122,ORDER_41796,1,boleto,1,116.7
123,ORDER_18434,1,credit_card,1,41.42
124,ORDER_56961,1,credit_card,6,125.53
125,ORDER_80758,1,credit_card,5,92.76
126,ORDER_75231,1,credit_card,8,348.02
127,ORDER_52025,1,credit_card,2,203.3
128,ORDER_86411,1,credit_card,3,44.35
129,ORDER_74939,1,credit_card,10,116.05
130,ORDER_61459,1,boleto,1,85.14
131,ORDER_05786,1,credit_card,4,236.66
132,ORDER_26896,1,credit_card,4,220.3
133,ORDER_82953,1,credit_card,1,180.55
134,ORDER_82627,1,boleto,1,45.46
135,ORDER_40121,1,boleto,1,26.08
136,ORDER_52504,1,credit_card,1,375.74
137,ORDER_11406,1,credit_card,5,123.41
