,Product_id,Product_category_name,Product_weight_g,Product_length_cm,Product_height_cm,Product_width_cm
0,PRODUCT_00000,perfumery,225.0,16.0,10.0,14.0
1,PRODUCT_00001,arts,1000.0,30.0,18.0,20.0
2,PRODUCT_00002,sports_leisure,154.0,18.0,9.0,15.0
3,PRODUCT_00003,home_utilities,625.0,20.0,17.0,13.0
4,PRODUCT_00004,musical_instruments,200.0,38.0,5.0,11.0
5,PRODUCT_00005,cool_stuff,18350.0,70.0,24.0,44.0
6,PRODUCT_00006,furniture_decor,900.0,40.0,8.0,40.0
7,PRODUCT_00007,home_appliances,400.0,27.0,13.0,17.0
8,PRODUCT_00008,toys,600.0,17.0,10.0,12.0
9,PRODUCT_00009,bed_bath_table,1100.0,16.0,10.0,16.0
10,PRODUCT_00010,baby,7150.0,50.0,19.0,45.0
11,PRODUCT_00011,musical_instruments,250.0,17.0,7.0,17.0
12,PRODUCT_00012,furniture_decor,600.0,68.0,11.0,13.0
13,PRODUCT_00013,construction_tools_safety,200.0,17.0,7.0,17.0
14,PRODUCT_00014,sports_leisure,800.0,16.0,2.0,11.0
15,PRODUCT_00015,perfumery,400.0,27.0,5.0,20.0
16,PRODUCT_00016,computers_accessories,900.0,40.0,15.0,20.0
17,PRODUCT_00017,furniture_decor,1700.0,100.0,7.0,15.0
18,PRODUCT_00018,bed_bath_table,500.0,16.0,10.0,16.0
19,PRODUCT_00019,furniture_decor,2550.0,29.0,24.0,45.0
20,PRODUCT_00020,bed_bath_table,800.0,36.0,8.0,16.0
21,PRODUCT_00021,health_beauty,75.0,21.0,7.0,13.0
22,PRODUCT_00022,baby,500.0,20.0,13.0,13.0
23,PRODUCT_00023,furniture_decor,1800.0,40.0,10.0,30.0
24,PRODUCT_00024,luggage_accessories,3600.0,35.0,25.0,50.0
25,PRODUCT_00025,computers_accessories,300.0,42.0,2.0,30.0
26,PRODUCT_00026,computers_accessories,740.0,23.0,13.0,13.0
27,PRODUCT_00027,bed_bath_table,650.0,16.0,10.0,16.0
28,PRODUCT_00028,garden_tools,2150.0,70.0,8.0,34.0
29,PRODUCT_00029,furniture_decor,800.0,40.0,10.0,34.0
30,PRODUCT_00030,office_furniture,8950.0,52.0,51.0,17.0
