,Seller_id,Seller_zipcode_prefix,Seller_city,Seller_state
0,SELLER_0000,13023,campinas,SP
1,SELLER_0001,13844,mogi guacu,SP
2,SELLER_0002,12914,braganca paulista,SP
3,SELLER_0003,20920,rio de janeiro,RJ
4,SELLER_0004,55325,brejao,PE
5,SELLER_0005,16304,penapolis,SP
6,SELLER_0006,1529,sao paulo,SP
7,SELLER_0007,80310,curitiba,PR
8,SELLER_0008,75110,anapolis,GO
9,SELLER_0009,13530,itirapina,SP
10,SELLER_0010,1222,sao paulo,SP
11,SELLER_0011,88705,tubarao,SC
12,SELLER_0012,42738,lauro de freitas,BA
13,SELLER_0013,88780,imbituba,SC
14,SELLER_0014,70740,brasilia,DF
15,SELLER_0015,45810,porto seguro,BA
16,SELLER_0016,5138,sao paulo,SP
17,SELLER_0017,11440,guaruja,SP
18,SELLER_0018,14910,tabatinga,SP
19,SELLER_0019,4156,sao paulo,SP
20,SELLER_0020,13320,salto,SP
21,SELLER_0021,98910,tres de maio,RS
22,SELLER_0022,30494,belo horizonte,MG
23,SELLER_0023,9850,sao bernardo do campo,SP
24,SELLER_0024,4857,sao paulo,SP
25,SELLER_0025,18500,tatui,SP
26,SELLER_0026,80210,curitiba,PR
27,SELLER_0027,2261,sao paulo,SP
28,SELLER_0028,88495,garopaba,SC
29,SELLER_0029,3562,sao paulo,SP
30,SELLER_0030,37650,camanducaia,MG
31,SELLER_0031,17602,tupa,SP
32,SELLER_0032,7241,guarulhos,SP
33,SELLER_0033,3445,sao paulo,SP
34,SELLER_0034,4133,sao paulo,SP
35,SELLER_0035,72233,brasilia,DF
36,SELLER_0036,70645,brasilia,DF
37,SELLER_0037,88730,sao ludgero,SC
38,SELLER_0038,88075,sao jose,SC
39,SELLER_0039,13416,piracicaba,SP
40,SELLER_0040,90850,porto alegre,RS
41,SELLER_0041,37584,congonhal,MG
42,SELLER_0042,31555,belo horizonte,MG
43,SELLER_0043,9251,santo andre,SP
44,SELLER_0044,4705,sao paulo,SP
45,SELLER_0045,6144,osasco,SP
46,SELLER_0046,13270,valinhos,SP
47,SELLER_0047,89214,joinville,SC
48,SELLER_0048,11446,guaruja,SP
49,SELLER_0049,28990,saquarema,RJ
