ID,ECLO
ACCIDENT_39609,3
ACCIDENT_39610,5
ACCIDENT_39611,3
ACCIDENT_39612,5
ACCIDENT_39613,6
ACCIDENT_39614,3
ACCIDENT_39615,3
ACCIDENT_39616,3
ACCIDENT_39617,3
ACCIDENT_39618,6
ACCIDENT_39619,6
ACCIDENT_39620,3
ACCIDENT_39621,3
ACCIDENT_39622,5
ACCIDENT_39623,3
ACCIDENT_39624,3
ACCIDENT_39625,3
ACCIDENT_39626,3
ACCIDENT_39627,3
ACCIDENT_39628,3
ACCIDENT_39629,3
ACCIDENT_39630,3
ACCIDENT_39631,3
ACCIDENT_39632,3
ACCIDENT_39633,3
ACCIDENT_39634,3
ACCIDENT_39635,3
ACCIDENT_39636,3
ACCIDENT_39637,5
ACCIDENT_39638,3
ACCIDENT_39639,3
ACCIDENT_39640,3
ACCIDENT_39641,3
ACCIDENT_39642,3
ACCIDENT_39643,3
ACCIDENT_39644,3
ACCIDENT_39645,3
ACCIDENT_39646,3
ACCIDENT_39647,3
ACCIDENT_39648,3
ACCIDENT_39649,3
ACCIDENT_39650,3
ACCIDENT_39651,3
ACCIDENT_39652,3
ACCIDENT_39653,3
ACCIDENT_39654,3
ACCIDENT_39655,3
ACCIDENT_39656,5
ACCIDENT_39657,3
ACCIDENT_39658,3
ACCIDENT_39659,3
ACCIDENT_39660,3
ACCIDENT_39661,3
ACCIDENT_39662,3
ACCIDENT_39663,3
ACCIDENT_39664,3
ACCIDENT_39665,3
ACCIDENT_39666,3
ACCIDENT_39667,3
ACCIDENT_39668,3
ACCIDENT_39669,5
ACCIDENT_39670,3
ACCIDENT_39671,3
ACCIDENT_39672,3
ACCIDENT_39673,3
ACCIDENT_39674,3
ACCIDENT_39675,5
ACCIDENT_39676,3
ACCIDENT_39677,5
ACCIDENT_39678,3
ACCIDENT_39679,3
ACCIDENT_39680,5
ACCIDENT_39681,3
ACCIDENT_39682,3
ACCIDENT_39683,3
ACCIDENT_39684,1
ACCIDENT_39685,3
ACCIDENT_39686,3
ACCIDENT_39687,3
ACCIDENT_39688,3
ACCIDENT_39689,3
ACCIDENT_39690,3
ACCIDENT_39691,3
ACCIDENT_39692,3
ACCIDENT_39693,3
ACCIDENT_39694,3
ACCIDENT_39695,3
ACCIDENT_39696,3
ACCIDENT_39697,3
ACCIDENT_39698,3
ACCIDENT_39699,3
ACCIDENT_39700,3
ACCIDENT_39701,3
ACCIDENT_39702,3
ACCIDENT_39703,3
ACCIDENT_39704,3
ACCIDENT_39705,3
ACCIDENT_39706,3
ACCIDENT_39707,3
ACCIDENT_39708,3
ACCIDENT_39709,8
ACCIDENT_39710,3
ACCIDENT_39711,3
ACCIDENT_39712,3
ACCIDENT_39713,3
ACCIDENT_39714,3
ACCIDENT_39715,5
ACCIDENT_39716,3
ACCIDENT_39717,6
ACCIDENT_39718,3
ACCIDENT_39719,3
ACCIDENT_39720,3
ACCIDENT_39721,3
ACCIDENT_39722,3
ACCIDENT_39723,6
ACCIDENT_39724,3
ACCIDENT_39725,3
ACCIDENT_39726,3
ACCIDENT_39727,3
ACCIDENT_39728,3
ACCIDENT_39729,3
ACCIDENT_39730,3
ACCIDENT_39731,3
ACCIDENT_39732,3
ACCIDENT_39733,3
ACCIDENT_39734,5
ACCIDENT_39735,5
ACCIDENT_39736,3
ACCIDENT_39737,3
ACCIDENT_39738,3
ACCIDENT_39739,3
ACCIDENT_39740,3
ACCIDENT_39741,3
ACCIDENT_39742,3
ACCIDENT_39743,3
ACCIDENT_39744,3
ACCIDENT_39745,5
ACCIDENT_39746,5
ACCIDENT_39747,3
