ID,ECLO
ACCIDENT_39609,3.8247988
ACCIDENT_39610,3.645405
ACCIDENT_39611,4.663678
ACCIDENT_39612,4.46449
ACCIDENT_39613,4.521902
ACCIDENT_39614,4.206651
ACCIDENT_39615,4.5574493
ACCIDENT_39616,3.6541207
ACCIDENT_39617,4.3594875
ACCIDENT_39618,4.5028787
ACCIDENT_39619,4.405279
ACCIDENT_39620,3.6373074
ACCIDENT_39621,4.36444
ACCIDENT_39622,3.6371467
ACCIDENT_39623,3.424207
ACCIDENT_39624,4.5163827
ACCIDENT_39625,4.336526
ACCIDENT_39626,4.3737955
ACCIDENT_39627,4.413534
ACCIDENT_39628,4.5153885
ACCIDENT_39629,3.9601307
ACCIDENT_39630,3.575591
ACCIDENT_39631,4.4584913
ACCIDENT_39632,4.836855
ACCIDENT_39633,4.5813217
ACCIDENT_39634,4.6815844
ACCIDENT_39635,4.6595583
ACCIDENT_39636,4.910103
ACCIDENT_39637,3.6306875
ACCIDENT_39638,4.7192144
ACCIDENT_39639,4.672617
ACCIDENT_39640,4.567602
ACCIDENT_39641,4.5619607
ACCIDENT_39642,3.406763
ACCIDENT_39643,4.636944
ACCIDENT_39644,3.4412253
ACCIDENT_39645,3.5373003
ACCIDENT_39646,4.816203
ACCIDENT_39647,4.8010025
ACCIDENT_39648,4.710862
ACCIDENT_39649,3.4362483
ACCIDENT_39650,3.675772
ACCIDENT_39651,3.7484934
ACCIDENT_39652,4.323324
ACCIDENT_39653,3.729884
ACCIDENT_39654,3.408694
ACCIDENT_39655,4.0741096
ACCIDENT_39656,3.927078
ACCIDENT_39657,4.3652077
ACCIDENT_39658,4.221935
ACCIDENT_39659,3.992295
ACCIDENT_39660,4.3529973
ACCIDENT_39661,4.224311
ACCIDENT_39662,4.221465
ACCIDENT_39663,4.226325
ACCIDENT_39664,4.0700836
ACCIDENT_39665,4.221472
ACCIDENT_39666,3.6231668
ACCIDENT_39667,4.2246447
ACCIDENT_39668,3.6231668
ACCIDENT_39669,3.5697544
ACCIDENT_39670,4.07638
ACCIDENT_39671,4.3216753
ACCIDENT_39672,4.231243
ACCIDENT_39673,3.5642152
ACCIDENT_39674,4.3612223
ACCIDENT_39675,3.7227383
ACCIDENT_39676,4.4047265
ACCIDENT_39677,3.7094178
ACCIDENT_39678,3.7098572
ACCIDENT_39679,4.3679523
ACCIDENT_39680,4.324378
ACCIDENT_39681,3.7674625
ACCIDENT_39682,4.0847645
ACCIDENT_39683,3.631961
ACCIDENT_39684,3.8154736
ACCIDENT_39685,4.4729023
ACCIDENT_39686,4.383623
ACCIDENT_39687,4.306862
ACCIDENT_39688,3.5566275
ACCIDENT_39689,4.3125687
ACCIDENT_39690,4.276717
ACCIDENT_39691,3.9474847
ACCIDENT_39692,4.1892953
ACCIDENT_39693,3.702257
ACCIDENT_39694,4.2855635
ACCIDENT_39695,4.187995
ACCIDENT_39696,4.1888304
ACCIDENT_39697,4.1666164
ACCIDENT_39698,4.3176317
ACCIDENT_39699,4.088698
ACCIDENT_39700,4.274005
ACCIDENT_39701,4.3018703
ACCIDENT_39702,4.2746077
ACCIDENT_39703,4.2563467
ACCIDENT_39704,4.1861734
ACCIDENT_39705,4.2756844
ACCIDENT_39706,3.7459116
ACCIDENT_39707,4.4977064
ACCIDENT_39708,4.359885
ACCIDENT_39709,4.1510363
ACCIDENT_39710,3.7048838
ACCIDENT_39711,4.065618
ACCIDENT_39712,3.7708743
