ID,ECLO
ACCIDENT_39609,3.7088728
ACCIDENT_39610,3.5707026
ACCIDENT_39611,4.5509005
ACCIDENT_39612,4.3510156
ACCIDENT_39613,4.402306
ACCIDENT_39614,5.2727966
ACCIDENT_39615,4.455482
ACCIDENT_39616,3.488058
ACCIDENT_39617,4.2579446
ACCIDENT_39618,4.402922
ACCIDENT_39619,4.2543
ACCIDENT_39620,3.52428
ACCIDENT_39621,4.2737055
ACCIDENT_39622,3.5230293
ACCIDENT_39623,3.9979105
ACCIDENT_39624,4.441285
ACCIDENT_39625,5.40325
ACCIDENT_39626,4.294316
ACCIDENT_39627,4.282894
ACCIDENT_39628,4.4092126
ACCIDENT_39629,3.8801036
ACCIDENT_39630,3.408894
ACCIDENT_39631,4.31785
ACCIDENT_39632,4.5216265
ACCIDENT_39633,4.405097
ACCIDENT_39634,4.505832
ACCIDENT_39635,4.478049
ACCIDENT_39636,4.5956917
ACCIDENT_39637,3.5825133
ACCIDENT_39638,4.5624547
ACCIDENT_39639,4.5125957
ACCIDENT_39640,4.4278107
ACCIDENT_39641,5.5028963
ACCIDENT_39642,3.425139
ACCIDENT_39643,4.4793253
ACCIDENT_39644,4.175355
ACCIDENT_39645,3.6365218
ACCIDENT_39646,4.6604247
ACCIDENT_39647,4.599596
ACCIDENT_39648,4.595606
ACCIDENT_39649,4.169527
ACCIDENT_39650,3.6713629
ACCIDENT_39651,3.5955524
ACCIDENT_39652,4.2331114
ACCIDENT_39653,3.5590682
ACCIDENT_39654,3.4329147
ACCIDENT_39655,4.0445685
ACCIDENT_39656,3.8459516
ACCIDENT_39657,4.344259
ACCIDENT_39658,4.129944
ACCIDENT_39659,4.001113
ACCIDENT_39660,4.271954
ACCIDENT_39661,4.1056848
ACCIDENT_39662,4.131046
ACCIDENT_39663,4.2193036
ACCIDENT_39664,4.05083
ACCIDENT_39665,4.1328773
ACCIDENT_39666,3.5082617
ACCIDENT_39667,4.1109023
ACCIDENT_39668,3.5082617
ACCIDENT_39669,3.4254637
ACCIDENT_39670,5.1621876
ACCIDENT_39671,4.318853
ACCIDENT_39672,4.2452292
ACCIDENT_39673,3.419602
ACCIDENT_39674,4.2883043
ACCIDENT_39675,3.5735307
ACCIDENT_39676,4.407419
ACCIDENT_39677,3.557375
ACCIDENT_39678,3.6059422
ACCIDENT_39679,4.38181
ACCIDENT_39680,4.3336825
ACCIDENT_39681,3.6068907
ACCIDENT_39682,4.090505
ACCIDENT_39683,3.5015187
ACCIDENT_39684,3.616991
ACCIDENT_39685,4.482995
ACCIDENT_39686,4.3899765
ACCIDENT_39687,4.270544
ACCIDENT_39688,3.306963
ACCIDENT_39689,4.237969
ACCIDENT_39690,4.190755
ACCIDENT_39691,3.8496094
ACCIDENT_39692,4.0542784
ACCIDENT_39693,3.5569158
ACCIDENT_39694,4.284849
ACCIDENT_39695,4.058235
ACCIDENT_39696,4.1907983
ACCIDENT_39697,4.3342433
ACCIDENT_39698,4.329811
ACCIDENT_39699,3.9644165
ACCIDENT_39700,4.188151
ACCIDENT_39701,4.305188
ACCIDENT_39702,4.189572
ACCIDENT_39703,4.1834135
ACCIDENT_39704,4.0987754
ACCIDENT_39705,4.1917934
ACCIDENT_39706,3.5972939
ACCIDENT_39707,4.4457407
ACCIDENT_39708,4.3590612
ACCIDENT_39709,4.3258834
ACCIDENT_39710,3.58154
ACCIDENT_39711,3.9533458
ACCIDENT_39712,3.619853
ACCIDENT_39713,4.1253176
ACCIDENT_39714,4.1685066
ACCIDENT_39715,4.3539867
ACCIDENT_39716,4.1252165
ACCIDENT_39717,4.142899
ACCIDENT_39718,4.099313
ACCIDENT_39719,4.168395
ACCIDENT_39720,4.047341
ACCIDENT_39721,4.0964236
ACCIDENT_39722,4.3843775
ACCIDENT_39723,4.161132
ACCIDENT_39724,4.2148232
ACCIDENT_39725,4.0923038
ACCIDENT_39726,4.181629
ACCIDENT_39727,3.5085864
