ID,ECLO
ACCIDENT_39609,4.1553626
ACCIDENT_39610,4.1085877
ACCIDENT_39611,4.2044797
ACCIDENT_39612,4.21283
ACCIDENT_39613,4.176085
ACCIDENT_39614,4.1995454
ACCIDENT_39615,4.117617
ACCIDENT_39616,4.079911
ACCIDENT_39617,4.1381946
ACCIDENT_39618,4.132499
ACCIDENT_39619,4.183603
ACCIDENT_39620,4.0000353
ACCIDENT_39621,4.172812
ACCIDENT_39622,3.9940555
ACCIDENT_39623,3.9974914
ACCIDENT_39624,4.1742034
ACCIDENT_39625,4.1869626
ACCIDENT_39626,4.133402
ACCIDENT_39627,4.140104
ACCIDENT_39628,4.0848746
ACCIDENT_39629,3.9318128
ACCIDENT_39630,3.9002233
ACCIDENT_39631,4.1706004
ACCIDENT_39632,4.182217
ACCIDENT_39633,4.17045
ACCIDENT_39634,4.1593738
ACCIDENT_39635,4.185874
ACCIDENT_39636,4.0983186
ACCIDENT_39637,4.065652
ACCIDENT_39638,4.1898866
ACCIDENT_39639,4.186586
ACCIDENT_39640,4.1725974
ACCIDENT_39641,4.184672
ACCIDENT_39642,4.0299435
ACCIDENT_39643,4.168899
ACCIDENT_39644,3.996159
ACCIDENT_39645,3.977903
ACCIDENT_39646,4.1768556
ACCIDENT_39647,4.1516767
ACCIDENT_39648,4.1881995
ACCIDENT_39649,3.9905019
ACCIDENT_39650,4.089021
ACCIDENT_39651,4.1109495
ACCIDENT_39652,4.168914
ACCIDENT_39653,4.0284033
ACCIDENT_39654,4.0425963
ACCIDENT_39655,4.1593933
ACCIDENT_39656,4.201712
ACCIDENT_39657,4.186579
ACCIDENT_39658,4.183792
ACCIDENT_39659,4.1253896
ACCIDENT_39660,4.1754317
ACCIDENT_39661,4.0323544
ACCIDENT_39662,4.1958675
ACCIDENT_39663,4.0712304
ACCIDENT_39664,4.122317
ACCIDENT_39665,4.1131997
ACCIDENT_39666,3.9922237
ACCIDENT_39667,4.1296015
ACCIDENT_39668,4.028313
ACCIDENT_39669,4.036559
ACCIDENT_39670,4.0719275
ACCIDENT_39671,4.18275
ACCIDENT_39672,4.171471
ACCIDENT_39673,3.956058
ACCIDENT_39674,4.113045
ACCIDENT_39675,3.992239
ACCIDENT_39676,4.169671
ACCIDENT_39677,3.9976878
ACCIDENT_39678,3.9731855
ACCIDENT_39679,4.1466055
ACCIDENT_39680,4.0656185
ACCIDENT_39681,4.020333
ACCIDENT_39682,4.0720344
ACCIDENT_39683,4.0405316
ACCIDENT_39684,4.1187425
ACCIDENT_39685,4.1974177
ACCIDENT_39686,4.1945047
ACCIDENT_39687,4.112002
ACCIDENT_39688,3.8985798
ACCIDENT_39689,4.1744075
ACCIDENT_39690,4.1879296
ACCIDENT_39691,4.221864
ACCIDENT_39692,4.167282
ACCIDENT_39693,4.0645432
ACCIDENT_39694,4.171827
ACCIDENT_39695,4.1601157
ACCIDENT_39696,4.175617
ACCIDENT_39697,3.9850543
ACCIDENT_39698,4.10493
ACCIDENT_39699,4.150999
ACCIDENT_39700,4.1649065
ACCIDENT_39701,4.2284374
ACCIDENT_39702,4.159614
ACCIDENT_39703,4.221416
