id,MLM,HLM
TEST_000,22.372969,48.366364
TEST_001,73.28236,83.08977
TEST_002,40.1735,49.41748
TEST_003,46.00156,73.53879
TEST_004,60.34913,75.32276
TEST_005,70.073425,81.34691
TEST_006,22.9785,54.14211
TEST_007,16.942533,43.85726
TEST_008,27.429733,41.91322
TEST_009,18.594906,45.54522
TEST_010,28.250254,44.435596
TEST_011,58.05545,76.09108
TEST_012,67.19712,73.050224
TEST_013,38.512466,63.595764
TEST_014,23.527287,36.73415
TEST_015,68.6682,78.94228
TEST_016,33.157906,31.695097
TEST_017,42.91055,71.54459
TEST_018,72.58102,82.33756
TEST_019,58.977863,74.436775
TEST_020,17.546782,35.92162
TEST_021,12.270856,27.69502
TEST_022,17.10887,29.993202
TEST_023,21.85685,35.69369
TEST_024,18.505945,36.677296
TEST_025,26.14339,51.247032
TEST_026,21.941317,47.805096
TEST_027,66.007515,83.3728
TEST_028,38.40159,63.057713
TEST_029,36.241405,62.35104
TEST_030,47.415794,56.265007
TEST_031,23.293129,34.39229
TEST_032,19.117695,45.532345
TEST_033,31.26416,50.627834
TEST_034,22.061241,51.999367
TEST_035,24.089193,24.681879
TEST_036,32.994205,56.190144
TEST_037,60.293346,75.51468
TEST_038,20.06054,52.921013
TEST_039,15.682988,46.294678
TEST_040,30.565758,30.492378
TEST_041,66.10695,83.32001
TEST_042,20.73296,21.357992
TEST_043,13.6196575,33.753216
TEST_044,27.553516,40.6547
TEST_045,69.37721,78.01063
TEST_046,23.308865,38.50002
TEST_047,14.260863,27.424116
TEST_048,60.042355,71.87857
TEST_049,39.303585,55.479725
TEST_050,73.86342,76.920204
TEST_051,26.0247,40.682743
TEST_052,30.006638,44.501762
TEST_053,30.612228,38.91702
TEST_054,20.22915,47.87622
TEST_055,17.25887,47.401188
TEST_056,40.031364,66.08945
TEST_057,40.415756,69.41828
TEST_058,26.802662,34.678745
TEST_059,36.966858,44.199657
TEST_060,17.508097,39.697426
TEST_061,58.72134,73.20654
TEST_062,38.533016,52.242344
TEST_063,59.285103,72.74602
TEST_064,34.772846,60.105164
TEST_065,34.888477,58.745255
TEST_066,41.624683,73.3447
TEST_067,54.933994,60.818665
TEST_068,45.758736,68.16625
TEST_069,39.837486,66.64985
TEST_070,17.06229,58.429375
TEST_071,33.986416,57.770374
TEST_072,29.8415,59.798744
TEST_073,59.07566,76.36765
TEST_074,22.42259,37.078587
TEST_075,71.404526,80.43938
TEST_076,39.1674,62.233284
TEST_077,35.65291,42.725487
TEST_078,45.63459,63.249416
TEST_079,34.79236,42.537323
