id,MLM,HLM
TEST_000,26.709389,42.986095
TEST_001,61.72978,81.89588
TEST_002,32.798622,57.736317
TEST_003,43.322617,62.16355
TEST_004,60.644318,77.283295
TEST_005,56.35018,82.41111
TEST_006,30.189135,50.30414
TEST_007,26.454124,54.467255
TEST_008,17.21602,41.24259
TEST_009,21.702124,55.255463
TEST_010,40.320168,61.268585
TEST_011,60.89171,78.1367
TEST_012,46.606697,69.52236
TEST_013,45.344223,66.313126
TEST_014,15.232296,23.76911
TEST_015,71.58192,77.119446
TEST_016,53.07102,65.49419
TEST_017,37.242428,69.645935
TEST_018,66.8719,73.35819
TEST_019,66.52101,76.85438
TEST_020,24.234715,39.792763
TEST_021,22.78275,39.252014
TEST_022,34.01289,46.66278
TEST_023,7.8055344,14.419739
TEST_024,32.099785,43.20814
TEST_025,19.77448,41.72874
TEST_026,19.696087,47.09666
TEST_027,65.50851,80.000534
TEST_028,28.17709,62.05271
TEST_029,58.73623,64.28848
TEST_030,29.529453,48.364838
TEST_031,23.77401,40.909954
TEST_032,13.823994,37.958183
TEST_033,29.326303,55.42774
TEST_034,32.378277,56.228268
TEST_035,25.428562,41.907787
TEST_036,19.308601,47.12596
TEST_037,39.070614,67.68701
TEST_038,30.578508,60.420563
TEST_039,12.31405,39.594807
TEST_040,44.478672,50.392673
TEST_041,65.81779,83.54704
TEST_042,19.923204,31.980263
TEST_043,33.834084,43.768616
TEST_044,28.740301,43.030113
TEST_045,61.692883,74.068985
TEST_046,26.19049,44.741344
TEST_047,18.512062,33.466385
TEST_048,54.71232,74.38024
TEST_049,28.053068,45.94399
TEST_050,66.24676,75.32533
TEST_051,24.939934,44.662285
TEST_052,32.691887,43.761368
TEST_053,23.41188,34.60164
TEST_054,18.864967,49.751583
TEST_055,24.574692,48.738155
TEST_056,47.149323,65.324814
TEST_057,36.102196,55.14569
TEST_058,25.288599,41.037807
TEST_059,26.725088,40.386963
TEST_060,22.362923,49.72192
TEST_061,67.74129,82.1657
TEST_062,28.24091,39.540733
TEST_063,55.262856,71.76176
TEST_064,24.711357,42.1341
TEST_065,23.569353,47.611416
TEST_066,55.13085,66.07758
TEST_067,37.42945,50.224804
TEST_068,39.891014,67.258675
TEST_069,28.63522,51.554806
TEST_070,32.36867,50.47176
