id,MLM,HLM
TEST_000,25.469503,48.45111
TEST_001,74.035835,81.92395
TEST_002,36.193977,48.28557
TEST_003,46.629658,73.96855
TEST_004,58.492252,72.235
TEST_005,61.015747,78.46911
TEST_006,27.56225,52.063187
TEST_007,21.157234,42.361958
TEST_008,32.349003,41.298134
TEST_009,19.418602,47.837463
TEST_010,31.73817,47.619125
TEST_011,56.072975,75.172264
TEST_012,56.20289,71.01814
TEST_013,42.208862,61.794247
TEST_014,22.97862,40.52658
TEST_015,65.79235,78.502
TEST_016,40.95184,37.942997
TEST_017,51.343967,75.18202
TEST_018,74.14863,80.93799
TEST_019,57.26889,74.15427
TEST_020,21.289679,40.45064
TEST_021,17.433401,32.38043
TEST_022,18.887007,32.84662
TEST_023,28.707306,39.37853
TEST_024,22.367708,38.420403
TEST_025,28.96553,49.93283
TEST_026,23.743782,47.183105
TEST_027,60.501755,81.184555
TEST_028,39.040974,61.14373
TEST_029,44.04228,63.110893
TEST_030,42.03943,54.799522
TEST_031,25.831572,39.718704
TEST_032,24.544983,44.004307
TEST_033,33.797764,51.46924
TEST_034,23.097843,49.762062
TEST_035,25.202787,29.982658
TEST_036,35.648163,55.892303
TEST_037,56.130753,74.930984
TEST_038,22.838757,49.20327
TEST_039,18.560171,44.029305
TEST_040,32.9008,38.19284
TEST_041,63.864555,82.36331
TEST_042,20.905487,26.044384
TEST_043,17.50151,37.415924
TEST_044,29.129402,38.741642
TEST_045,65.28998,75.49688
TEST_046,27.499641,42.802017
TEST_047,17.78081,30.631779
TEST_048,56.218838,70.27655
TEST_049,42.83749,59.487183
TEST_050,72.41521,75.80198
TEST_051,28.84749,42.792114
TEST_052,31.319181,46.36042
TEST_053,35.009968,44.03816
TEST_054,24.368757,49.97867
TEST_055,20.065197,47.26013
TEST_056,45.70501,64.304756
TEST_057,42.935272,70.173996
TEST_058,26.314766,35.103683
TEST_059,42.17464,47.16156
TEST_060,18.65548,39.078094
TEST_061,57.110317,71.708435
TEST_062,39.70218,51.769108
TEST_063,58.071133,70.94016
TEST_064,37.774456,60.775085
TEST_065,35.17715,53.81922
TEST_066,39.216854,68.298996
TEST_067,48.72567,59.218834
TEST_068,47.038143,67.99099
TEST_069,44.36599,66.57598
TEST_070,22.7225,62.25299
TEST_071,38.937447,63.21879
TEST_072,29.61433,55.143005
TEST_073,53.725605,74.09731
TEST_074,24.410463,35.253784
TEST_075,64.02781,76.88922
TEST_076,40.612095,60.54788
TEST_077,42.136284,47.22866
TEST_078,38.601955,62.908615
TEST_079,38.422043,46.008812
TEST_080,71.148506,77.0005
TEST_081,45.475876,64.125854
TEST_082,29.731777,42.98198
TEST_083,18.901392,39.60885
TEST_084,30.264202,46.738094
TEST_085,62.61991,67.82204
TEST_086,37.979347,45.872902
