id,MLM,HLM
TEST_000,27.026196,50.396267
TEST_001,69.47133,82.245255
TEST_002,36.630966,50.802246
TEST_003,47.37778,72.48491
TEST_004,65.24324,76.13614
TEST_005,65.21997,81.35037
TEST_006,26.495136,49.206863
TEST_007,20.357662,43.276608
TEST_008,22.778774,34.67991
TEST_009,17.981983,49.763412
TEST_010,33.55047,49.895454
TEST_011,54.06434,76.97435
TEST_012,56.161488,71.12743
TEST_013,41.959053,64.18487
TEST_014,20.589897,39.068687
TEST_015,68.54738,78.41585
TEST_016,40.79297,33.21644
TEST_017,53.080917,77.28856
TEST_018,74.36837,81.81637
TEST_019,57.91197,74.085075
TEST_020,23.868906,38.468132
TEST_021,18.351686,34.22532
TEST_022,20.840994,32.746296
TEST_023,29.603691,38.373825
TEST_024,25.381763,41.57512
TEST_025,29.376883,54.903164
TEST_026,20.176693,44.68936
TEST_027,66.34328,79.98485
TEST_028,42.504158,60.1969
TEST_029,44.05492,60.763336
TEST_030,43.073093,52.262363
TEST_031,23.708,40.99499
TEST_032,19.9169,47.26403
TEST_033,37.168037,50.69398
TEST_034,18.913467,48.40692
TEST_035,27.99865,27.867762
TEST_036,31.985664,56.74695
TEST_037,58.0046,76.94969
TEST_038,20.603401,45.09825
TEST_039,14.83144,38.609325
TEST_040,38.07128,42.28997
TEST_041,62.964607,83.59357
TEST_042,23.347761,25.757992
TEST_043,20.047974,39.208313
TEST_044,28.552055,39.631817
TEST_045,64.78904,75.27912
TEST_046,21.075296,44.32874
TEST_047,20.779335,29.651596
TEST_048,58.227802,69.890335
TEST_049,41.65772,58.637146
TEST_050,74.62421,77.3994
TEST_051,28.535511,44.293346
TEST_052,28.646915,42.015076
TEST_053,28.727821,44.41819
TEST_054,28.015156,52.73873
TEST_055,19.245668,45.347637
TEST_056,41.604412,60.544945
TEST_057,44.37124,70.10089
TEST_058,26.360281,36.256866
TEST_059,41.68941,49.036713
TEST_060,19.451159,35.679432
TEST_061,55.93963,72.02326
TEST_062,41.9807,56.278355
TEST_063,59.014133,73.66011
TEST_064,40.92295,59.570503
TEST_065,34.37489,53.21951
TEST_066,40.839836,70.42857
TEST_067,49.091003,58.82763
TEST_068,56.96163,68.715195
TEST_069,41.44042,64.80603
TEST_070,23.477356,54.56334
TEST_071,30.44809,60.677204
TEST_072,29.310669,55.724648
TEST_073,49.29218,75.223694
TEST_074,23.712719,29.964691
TEST_075,65.93406,75.21303
TEST_076,42.46472,60.805
TEST_077,42.979202,50.87551
TEST_078,43.118393,65.74753
TEST_079,38.61279,50.244087
TEST_080,74.387474,81.11217
TEST_081,54.223213,67.57709
TEST_082,31.302593,43.606785
TEST_083,18.43129,33.845345
TEST_084,32.273064,47.390358
TEST_085,67.76818,72.298454
TEST_086,42.154343,42.603603
TEST_087,75.63052,82.17314
TEST_088,46.394188,61.133682
TEST_089,61.40136,74.05144
TEST_090,29.414156,42.334827
TEST_091,20.232079,39.06295
TEST_092,41.282547,55.38791
TEST_093,46.19774,50.966908
TEST_094,75.03016,80.359406
TEST_095,24.887264,50.249153
TEST_096,72.4355,83.519455
TEST_097,80.83218,74.80699
TEST_098,15.316533,39.458763
TEST_099,11.297146,19.550608
TEST_100,63.097183,72.65852
TEST_101,17.41177,28.60787
TEST_102,58.244423,74.35894
TEST_103,51.487934,77.587456
TEST_104,22.421436,51.09318
TEST_105,40.990532,62.73108
TEST_106,56.248722,60.662025
TEST_107,76.075165,83.30515
TEST_108,45.486465,74.83462
TEST_109,20.484394,38.238586
TEST_110,25.675697,52.13005
TEST_111,36.45535,65.124176
TEST_112,31.90209,32.37429
TEST_113,56.07236,64.14383
