id,MLM,HLM
TEST_000,25.322485,49.633972
TEST_001,68.98117,81.235435
TEST_002,35.97231,49.09279
TEST_003,40.16041,71.77803
TEST_004,60.76243,74.322754
TEST_005,60.937828,84.37768
TEST_006,29.875853,54.35868
TEST_007,23.5755,47.575924
TEST_008,22.513584,33.75601
TEST_009,16.317945,45.411076
TEST_010,39.83298,47.55446
TEST_011,59.572407,77.51676
TEST_012,56.748302,71.54288
TEST_013,39.59895,66.28344
TEST_014,17.907978,36.223152
TEST_015,61.784794,75.72325
TEST_016,34.329254,32.372547
TEST_017,51.434517,76.36391
TEST_018,75.634926,78.64579
TEST_019,57.444847,74.97304
TEST_020,20.92239,37.092876
TEST_021,15.545632,29.72535
TEST_022,23.179512,32.308147
TEST_023,31.56689,40.53135
TEST_024,23.6658,37.79747
TEST_025,24.624384,56.939804
TEST_026,20.161106,47.529274
TEST_027,63.354713,78.80241
TEST_028,37.32746,59.075874
TEST_029,42.87198,59.858055
TEST_030,47.501606,59.47872
TEST_031,20.554962,35.80535
TEST_032,21.402918,45.014885
TEST_033,38.389687,51.782257
TEST_034,18.152538,48.260567
TEST_035,28.029171,29.666958
TEST_036,31.645287,56.77854
TEST_037,56.41588,76.46288
TEST_038,20.347233,44.918365
TEST_039,17.633366,42.613697
TEST_040,38.27074,40.798088
TEST_041,61.403187,83.875404
TEST_042,21.726557,27.657602
TEST_043,18.076939,33.580086
TEST_044,35.472782,37.20979
TEST_045,66.942085,75.769775
TEST_046,16.125423,39.793343
TEST_047,24.87815,34.62479
TEST_048,58.665718,70.82296
TEST_049,37.959816,57.074387
TEST_050,73.72591,77.39198
TEST_051,28.961739,45.528652
TEST_052,31.695213,44.333733
TEST_053,28.256786,41.720024
TEST_054,28.223007,54.139217
TEST_055,23.128288,47.10886
TEST_056,44.80026,62.08984
TEST_057,42.44249,69.623764
TEST_058,20.744404,34.39369
TEST_059,40.843597,49.260128
TEST_060,17.639778,35.212822
TEST_061,56.380592,72.14118
TEST_062,40.00148,52.907505
TEST_063,61.495304,75.798904
TEST_064,40.642643,61.90856
TEST_065,35.14798,55.490425
TEST_066,39.67031,68.39331
TEST_067,48.895744,59.79896
TEST_068,49.076397,70.1208
TEST_069,39.673595,63.387577
TEST_070,28.128254,63.000473
TEST_071,31.162573,59.54202
TEST_072,29.36089,55.14128
TEST_073,52.27293,75.819275
TEST_074,24.04429,36.35033
TEST_075,64.29639,75.79657
TEST_076,41.616646,60.18907
TEST_077,40.62494,51.4281
TEST_078,40.191982,65.91754
TEST_079,35.323044,46.4751
TEST_080,71.407616,79.62081
TEST_081,53.583294,67.81968
TEST_082,33.671314,45.324467
TEST_083,20.9896,34.33171
TEST_084,33.649178,47.983414
TEST_085,68.358864,75.07394
TEST_086,38.970425,44.693695
TEST_087,73.057945,80.537315
TEST_088,43.011375,58.628735
TEST_089,59.027115,70.071495
TEST_090,26.074982,39.340584
TEST_091,24.548784,43.15432
TEST_092,40.75618,53.291325
TEST_093,44.00754,52.547977
TEST_094,71.57426,76.76079
TEST_095,27.994427,51.360695
TEST_096,71.650795,83.43679
TEST_097,79.92449,75.32503
TEST_098,16.62655,37.378456
TEST_099,14.394161,22.942465
TEST_100,64.77344,72.68998
TEST_101,14.364798,29.35238
TEST_102,56.54483,72.64268
TEST_103,51.975376,77.19609
TEST_104,26.791008,50.92793
TEST_105,42.493484,63.374126
TEST_106,56.13768,59.11005
TEST_107,72.52691,81.313545
TEST_108,44.790703,76.68372
TEST_109,24.767138,36.673244
TEST_110,27.98489,49.768234
TEST_111,28.448362,61.79242
TEST_112,28.512241,33.817898
TEST_113,54.827602,63.027332
TEST_114,34.107346,68.63321
TEST_115,15.497205,35.16075
TEST_116,19.7406,31.878532
TEST_117,47.180435,58.689507
TEST_118,49.391693,42.46436
TEST_119,27.84725,40.616177
TEST_120,59.74032,74.52275
TEST_121,42.514412,59.276478
TEST_122,20.317064,35.34561
TEST_123,47.3668,70.959496
TEST_124,11.868446,34.38152
TEST_125,65.2204,82.19464
TEST_126,12.516899,44.124424
TEST_127,59.02655,75.289024
TEST_128,57.9076,66.07632
TEST_129,20.087284,37.31704
TEST_130,36.643364,67.75335
TEST_131,17.468763,45.27192
TEST_132,24.268974,46.123657
