id,MLM,HLM
TEST_000,27.286394,53.103203
TEST_001,71.23479,82.6142
TEST_002,36.714275,50.89383
TEST_003,44.46761,70.1065
TEST_004,57.343044,73.59546
TEST_005,70.07608,80.3882
TEST_006,25.74715,49.266853
TEST_007,21.374264,45.22876
TEST_008,23.928131,38.015587
TEST_009,23.506016,54.535255
TEST_010,28.744064,44.143932
TEST_011,63.450195,77.955086
TEST_012,62.566097,75.41449
TEST_013,43.748917,71.32106
TEST_014,18.604244,35.67344
TEST_015,64.05261,76.64782
TEST_016,25.835114,30.25563
TEST_017,44.816036,71.83113
TEST_018,69.14661,79.78138
TEST_019,59.05904,72.832886
TEST_020,18.308088,28.447845
TEST_021,12.230641,23.951448
TEST_022,15.984879,25.426023
TEST_023,21.785316,27.75663
TEST_024,20.466934,28.890509
TEST_025,21.517113,52.324528
TEST_026,20.268854,41.820957
TEST_027,59.11086,68.77388
TEST_028,39.326756,66.45711
TEST_029,47.243282,65.027016
TEST_030,45.63471,56.18273
TEST_031,20.504602,33.713844
TEST_032,19.320242,46.187775
TEST_033,31.829699,56.613827
TEST_034,17.752285,46.479866
TEST_035,18.64869,25.440155
TEST_036,30.460829,54.952263
TEST_037,66.138855,76.28105
TEST_038,22.686031,51.882385
TEST_039,17.403814,40.806168
TEST_040,28.211597,27.386097
TEST_041,63.12587,80.49818
TEST_042,17.288628,27.20408
TEST_043,18.636402,37.984222
TEST_044,22.787903,30.404686
TEST_045,65.03068,77.066696
TEST_046,13.400606,40.395405
TEST_047,15.205266,30.334427
TEST_048,63.55686,76.76471
TEST_049,37.36055,54.062866
TEST_050,70.97864,77.37048
TEST_051,25.26688,41.631863
TEST_052,30.728365,45.71746
TEST_053,24.680305,45.24302
TEST_054,25.305387,52.726997
TEST_055,25.179123,53.88431
TEST_056,31.830345,58.577896
TEST_057,34.442093,72.53453
TEST_058,22.91732,38.438156
TEST_059,33.187386,44.770332
TEST_060,19.490725,40.10291
TEST_061,58.695084,77.068596
TEST_062,31.863012,55.236534
TEST_063,62.91941,70.50253
TEST_064,31.476055,56.409386
TEST_065,41.136944,62.628372
TEST_066,47.609596,72.24751
TEST_067,44.95684,62.170456
