id,MLM,HLM
TEST_000,25.101227,56.974495
TEST_001,69.88128,80.11706
TEST_002,41.827488,53.586018
TEST_003,42.715614,71.62617
TEST_004,57.288105,77.71293
TEST_005,64.95024,78.311325
TEST_006,28.071882,56.60341
TEST_007,21.460758,45.49185
TEST_008,23.81196,40.94716
TEST_009,15.260945,44.323208
TEST_010,28.610481,43.690582
TEST_011,53.035652,78.89543
TEST_012,58.974945,77.533264
TEST_013,34.41639,65.9366
TEST_014,17.098068,31.890327
TEST_015,64.66105,77.49885
TEST_016,31.87858,24.343185
TEST_017,50.894947,74.95856
TEST_018,74.98747,80.05206
TEST_019,62.246384,77.07329
TEST_020,22.083752,32.42742
TEST_021,16.197952,27.358479
TEST_022,17.167822,24.010582
TEST_023,25.749493,33.570984
TEST_024,22.296753,31.140862
TEST_025,29.337572,61.26798
TEST_026,24.142832,49.4871
TEST_027,65.044785,81.739075
TEST_028,38.196312,63.66788
TEST_029,40.209026,62.460842
TEST_030,47.954548,60.516212
TEST_031,19.414238,30.394604
TEST_032,18.437872,47.952225
TEST_033,39.17982,56.426018
TEST_034,21.6553,55.646965
TEST_035,21.114994,26.342136
TEST_036,28.815151,57.22936
TEST_037,61.787838,76.93413
TEST_038,22.581182,51.204205
TEST_039,16.269497,39.461143
TEST_040,28.38238,31.265308
TEST_041,60.349632,81.721436
TEST_042,19.8594,27.460976
TEST_043,18.872454,35.345127
TEST_044,24.441729,40.477684
TEST_045,66.7769,79.43357
TEST_046,17.12791,38.703377
TEST_047,17.32707,29.730701
TEST_048,57.203987,74.7117
TEST_049,42.20691,54.55041
TEST_050,74.11632,78.66324
TEST_051,23.9839,40.19729
TEST_052,26.971855,38.799576
TEST_053,26.162159,37.114407
TEST_054,22.094933,49.84118
TEST_055,20.428905,48.891735
TEST_056,38.26078,61.18659
TEST_057,44.009327,72.288536
TEST_058,23.106716,32.34675
TEST_059,39.786358,42.085922
TEST_060,17.253113,39.18758
TEST_061,52.681633,75.570305
TEST_062,40.248352,58.70295
TEST_063,60.40625,72.961044
TEST_064,35.403267,60.732796
TEST_065,38.63777,62.456303
TEST_066,39.51155,74.689514
TEST_067,49.766666,63.618862
TEST_068,53.527504,71.750854
TEST_069,39.133034,64.59439
TEST_070,22.168947,56.753586
TEST_071,26.775553,51.053776
TEST_072,28.64574,60.694206
TEST_073,53.97841,77.36478
TEST_074,22.515335,32.569553
TEST_075,66.94911,77.297226
TEST_076,38.569363,61.736847
TEST_077,42.62981,51.953278
TEST_078,44.812664,69.06052
TEST_079,30.185465,39.83632
TEST_080,74.44828,78.554245
TEST_081,58.92228,71.69501
TEST_082,27.760612,48.780502
TEST_083,17.535177,33.036633
TEST_084,26.044239,46.026123
TEST_085,70.65876,77.96079
TEST_086,32.420734,38.24509
TEST_087,76.31843,81.98745
TEST_088,52.870346,70.008354
TEST_089,62.777668,76.22856
