id,MLM,HLM
TEST_000,27.026196,50.396267
TEST_001,69.47133,82.24527
TEST_002,36.630966,50.802246
TEST_003,47.377777,72.48491
TEST_004,65.24324,76.13614
TEST_005,65.21997,81.35037
TEST_006,26.495136,49.20687
TEST_007,20.357662,43.27661
TEST_008,22.778774,34.67991
TEST_009,17.981983,49.76341
TEST_010,33.55047,49.89545
TEST_011,54.06434,76.97435
TEST_012,56.161488,71.12743
TEST_013,41.959053,64.184875
TEST_014,20.589897,39.068687
TEST_015,68.54738,78.41585
TEST_016,40.79297,33.21644
TEST_017,53.080917,77.28856
TEST_018,74.36837,81.816376
TEST_019,57.91197,74.085075
TEST_020,23.868906,38.468132
TEST_021,18.351686,34.22532
TEST_022,20.840994,32.746296
TEST_023,29.603695,38.373825
TEST_024,25.381762,41.57512
TEST_025,29.376884,54.903164
TEST_026,20.176693,44.68936
TEST_027,66.34328,79.98485
TEST_028,42.504158,60.1969
TEST_029,44.05492,60.763336
TEST_030,43.073093,52.262363
TEST_031,23.708,40.994987
TEST_032,19.9169,47.264027
TEST_033,37.168037,50.693985
TEST_034,18.913467,48.40692
TEST_035,27.99865,27.867762
TEST_036,31.985664,56.74695
TEST_037,58.0046,76.9497
TEST_038,20.6034,45.09825
TEST_039,14.831439,38.609325
TEST_040,38.07128,42.28997
TEST_041,62.964607,83.59357
TEST_042,23.347761,25.75799
TEST_043,20.047976,39.20831
TEST_044,28.552055,39.631817
TEST_045,64.78905,75.27911
TEST_046,21.075296,44.328735
TEST_047,20.779335,29.651596
TEST_048,58.227802,69.890335
TEST_049,41.65772,58.637146
TEST_050,74.62421,77.3994
TEST_051,28.535511,44.293346
TEST_052,28.646915,42.015076
TEST_053,28.727821,44.41819
TEST_054,28.015156,52.73873
TEST_055,19.245667,45.34764
TEST_056,41.604412,60.544945
TEST_057,44.371235,70.10089
TEST_058,26.360281,36.256866
TEST_059,41.689407,49.036713
TEST_060,19.451159,35.67943
TEST_061,55.93962,72.02326
TEST_062,41.9807,56.278355
TEST_063,59.014133,73.66011
TEST_064,40.92295,59.5705
TEST_065,34.37489,53.21951
TEST_066,40.839836,70.42857
TEST_067,49.091003,58.82763
TEST_068,56.96163,68.7152
TEST_069,41.44042,64.80603
TEST_070,23.477356,54.56334
TEST_071,30.44809,60.677208
TEST_072,29.310669,55.724648
TEST_073,49.29218,75.2237
TEST_074,23.712717,29.964691
TEST_075,65.93406,75.21303
TEST_076,42.464725,60.805
TEST_077,42.979202,50.87551
TEST_078,43.118393,65.74753
TEST_079,38.61279,50.244087
TEST_080,74.387474,81.11217
TEST_081,54.223213,67.57709
TEST_082,31.302595,43.606785
