id,MLM,HLM
TEST_000,19.690758,50.944744
TEST_001,72.77207,81.27931
TEST_002,49.803913,55.680183
TEST_003,39.816162,71.71989
TEST_004,50.269295,73.642715
TEST_005,64.840485,71.30726
TEST_006,21.962418,55.638405
TEST_007,37.77812,42.7928
TEST_008,23.724195,35.8596
TEST_009,14.959518,62.8901
TEST_010,26.130758,45.18034
TEST_011,46.317356,79.10691
TEST_012,49.35742,74.24032
TEST_013,46.43464,68.50307
TEST_014,26.95205,28.326235
TEST_015,71.07351,80.71448
TEST_016,35.244225,30.88911
TEST_017,55.84288,73.86204
TEST_018,60.034813,66.638565
TEST_019,67.45316,81.283394
TEST_020,18.746706,39.099854
TEST_021,9.620868,20.974201
TEST_022,12.642536,25.993505
TEST_023,33.512463,41.158974
TEST_024,17.50649,35.966442
TEST_025,30.556004,50.76466
TEST_026,57.64421,63.869064
TEST_027,82.33037,87.181175
TEST_028,32.068386,53.537514
TEST_029,27.01452,57.78633
TEST_030,79.38622,71.99833
TEST_031,14.807827,31.38136
TEST_032,23.86631,55.294914
TEST_033,29.993528,49.09826
TEST_034,60.67022,81.90192
TEST_035,26.19421,35.00687
TEST_036,35.660458,62.012764
TEST_037,54.542236,72.70216
TEST_038,27.466324,59.85026
TEST_039,7.5642614,40.136463
TEST_040,30.180748,43.375
TEST_041,63.136623,83.000725
TEST_042,49.305668,24.975681
TEST_043,13.705085,41.861843
TEST_044,17.517723,46.42382
TEST_045,65.06911,75.82548
TEST_046,22.379744,35.96398
TEST_047,17.02648,17.54742
TEST_048,40.66092,71.828186
TEST_049,45.444515,62.00061
TEST_050,71.55765,75.421745
TEST_051,30.780085,31.741482
TEST_052,17.534782,20.376125
TEST_053,24.879248,24.196968
TEST_054,20.112349,44.91443
TEST_055,38.584057,62.024223
TEST_056,33.932034,56.50379
TEST_057,41.8265,73.28013
TEST_058,53.4287,43.891552
TEST_059,31.808077,40.565514
TEST_060,14.932702,53.09806
TEST_061,38.544422,70.96882
TEST_062,36.348152,73.96157
TEST_063,51.706535,76.35836
TEST_064,27.056255,78.26433
TEST_065,45.592525,58.250015
TEST_066,28.533123,69.018814
TEST_067,73.87308,62.986263
TEST_068,75.9081,73.54706
TEST_069,65.89236,41.0063
TEST_070,22.31918,75.46092
TEST_071,18.74499,36.331486
TEST_072,21.01826,54.254303
TEST_073,54.07846,76.24516
TEST_074,20.854715,38.017216
TEST_075,67.737366,73.7825
TEST_076,47.858006,67.741104
TEST_077,48.163635,49.101807
TEST_078,35.702377,63.513924
TEST_079,26.17312,25.52135
TEST_080,70.80455,79.82293
TEST_081,73.166306,74.53112
TEST_082,35.54404,54.566902
TEST_083,15.867161,35.87194
TEST_084,27.26688,36.591827
TEST_085,70.14933,79.00914
TEST_086,25.116867,26.35156
TEST_087,79.72614,83.247536
TEST_088,60.548714,74.978065
TEST_089,65.62752,76.65166
TEST_090,42.231346,42.102955
TEST_091,15.078555,28.912096
TEST_092,41.7075,70.15761
TEST_093,34.852676,44.357613
