id,MLM,HLM
TEST_000,16.369448,49.3929
TEST_001,75.33674,83.1011
TEST_002,47.844444,56.5048
TEST_003,33.741528,72.047615
TEST_004,51.248734,73.530495
TEST_005,68.589005,70.978745
TEST_006,21.325758,51.72975
TEST_007,39.39604,40.769974
TEST_008,22.148634,38.84196
TEST_009,12.926683,60.598656
TEST_010,26.603504,45.59107
TEST_011,46.192623,79.44593
TEST_012,45.862663,74.824196
TEST_013,48.004776,64.5775
TEST_014,26.303493,31.714447
TEST_015,69.45886,81.23169
TEST_016,37.55719,32.99965
TEST_017,61.76194,76.43186
TEST_018,57.290565,68.087685
TEST_019,70.20042,79.69551
TEST_020,15.0258,36.951336
TEST_021,8.467811,19.39053
TEST_022,13.334349,28.67952
TEST_023,33.37623,39.341053
TEST_024,18.650393,35.872128
TEST_025,23.992577,55.418686
TEST_026,60.63532,61.95051
TEST_027,79.17252,89.00479
TEST_028,30.269115,54.110695
TEST_029,27.43627,56.58216
TEST_030,85.4634,76.06689
TEST_031,16.49095,30.98725
TEST_032,22.364416,58.031353
TEST_033,25.645622,51.39175
TEST_034,62.647068,72.28083
TEST_035,23.130966,32.860855
TEST_036,32.882343,60.55709
TEST_037,52.49391,69.847664
TEST_038,27.374044,50.803375
TEST_039,9.784819,39.157196
TEST_040,31.314224,42.001804
TEST_041,66.30374,84.08387
TEST_042,52.579117,26.400461
TEST_043,13.104373,36.189384
TEST_044,18.391727,44.234715
TEST_045,64.87747,75.598694
TEST_046,20.764944,37.87176
TEST_047,17.063929,20.115204
TEST_048,38.76545,70.740685
TEST_049,47.77599,61.37725
TEST_050,68.862625,75.373566
TEST_051,29.114908,37.81431
TEST_052,19.164898,22.154968
TEST_053,26.298676,22.923737
TEST_054,17.901804,44.88279
TEST_055,37.55857,56.42857
TEST_056,30.376516,58.97597
TEST_057,42.285748,73.75004
TEST_058,63.227863,41.981083
TEST_059,39.030586,39.508442
TEST_060,14.34731,47.11527
TEST_061,31.046772,71.936935
TEST_062,28.494787,68.8961
TEST_063,47.41842,75.61402
TEST_064,24.669048,76.69544
TEST_065,44.08638,61.283066
TEST_066,25.993618,69.53652
TEST_067,70.731575,64.04894
TEST_068,75.593544,72.97852
TEST_069,70.913635,50.5496
TEST_070,21.832464,73.526695
TEST_071,16.902822,40.262344
TEST_072,19.39627,56.725075
TEST_073,52.60065,79.211044
TEST_074,24.521526,37.26426
TEST_075,68.549866,74.38244
TEST_076,50.292698,66.0097
TEST_077,52.059284,48.64768
TEST_078,31.845446,64.583176
TEST_079,25.228476,32.589333
