id,MLM,HLM
TEST_000,31.0,50.0
TEST_001,57.0,76.0
TEST_002,29.0,57.0
TEST_003,43.0,60.0
TEST_004,61.400000000000006,84.0
TEST_005,53.0,74.6
TEST_006,34.0,54.0
TEST_007,33.0,56.0
TEST_008,21.4,39.0
TEST_009,34.0,57.0
TEST_010,37.4,61.0
TEST_011,61.0,78.0
TEST_012,53.0,71.0
TEST_013,43.0,62.0
TEST_014,17.0,32.6
TEST_015,64.4,75.0
TEST_016,152.2,150.8
TEST_017,39.0,60.0
TEST_018,71.0,80.0
TEST_019,57.0,73.0
TEST_020,29.0,43.0
TEST_021,21.0,33.0
TEST_022,26.6,37.0
TEST_023,2.0,13.0
TEST_024,34.0,48.0
TEST_025,29.0,49.0
TEST_026,8.4,42.4
TEST_027,62.0,81.0
TEST_028,34.0,57.0
TEST_029,85.2,89.4
TEST_030,34.0,50.0
TEST_031,27.0,43.400000000000006
TEST_032,19.0,39.0
TEST_033,38.0,56.0
TEST_034,35.0,55.0
TEST_035,22.0,35.0
TEST_036,25.0,47.0
TEST_037,35.4,61.400000000000006
TEST_038,30.8,54.6
TEST_039,20.0,40.0
TEST_040,49.4,47.0
TEST_041,69.2,98.2
TEST_042,19.0,25.6
TEST_043,30.2,46.6
TEST_044,28.0,50.0
TEST_045,47.0,65.0
TEST_046,15.6,27.6
TEST_047,18.0,37.0
TEST_048,51.4,69.0
TEST_049,23.0,43.0
TEST_050,56.0,70.0
TEST_051,18.4,33.0
TEST_052,39.0,51.0
TEST_053,34.0,52.0
TEST_054,26.0,43.0
TEST_055,31.0,50.0
TEST_056,42.0,61.0
TEST_057,34.0,52.0
TEST_058,28.0,40.0
TEST_059,26.0,45.0
TEST_060,30.0,49.0
TEST_061,66.6,82.0
TEST_062,30.0,47.0
TEST_063,50.0,68.0
TEST_064,22.4,42.0
TEST_065,29.0,51.0
TEST_066,51.0,63.0
TEST_067,34.0,54.6
TEST_068,39.4,57.0
TEST_069,33.0,53.0
TEST_070,33.400000000000006,53.0
TEST_071,40.0,60.0
TEST_072,36.0,52.0
TEST_073,46.0,68.0
TEST_074,37.0,50.599999999999994
TEST_075,61.599999999999994,78.6
TEST_076,35.599999999999994,61.599999999999994
TEST_077,44.0,60.0
TEST_078,40.0,59.0
TEST_079,12.2,21.200000000000003
TEST_080,58.2,79.6
TEST_081,63.0,74.0
TEST_082,25.0,46.0
TEST_083,23.0,41.0
TEST_084,24.0,38.0
TEST_085,69.0,76.0
TEST_086,69.4,74.0
TEST_087,70.4,91.0
TEST_088,37.0,57.0
TEST_089,54.0,74.0
TEST_090,41.0,58.0
TEST_091,21.0,36.0
TEST_092,25.0,35.0
TEST_093,37.0,55.0
TEST_094,58.0,70.0
TEST_095,30.4,52.0
TEST_096,61.0,74.0
TEST_097,66.0,75.0
TEST_098,22.0,35.0
TEST_099,26.0,39.0
TEST_100,71.0,83.0
TEST_101,16.0,38.0
TEST_102,52.0,73.0
TEST_103,46.8,71.4
TEST_104,36.0,56.0
TEST_105,48.0,64.0
TEST_106,42.0,54.4
TEST_107,81.0,94.0
TEST_108,42.0,62.0
TEST_109,27.0,46.0
TEST_110,44.6,71.6
TEST_111,36.0,56.0
TEST_112,20.0,30.0
TEST_113,63.0,74.0
TEST_114,34.0,55.0
TEST_115,22.0,40.0
TEST_116,25.0,39.0
TEST_117,38.0,58.0
TEST_118,52.400000000000006,63.0
TEST_119,36.0,52.0
TEST_120,63.0,75.4
TEST_121,47.0,64.0
TEST_122,30.0,45.0
TEST_123,65.0,70.6
TEST_124,19.0,42.0
TEST_125,56.0,74.0
TEST_126,18.0,41.0
TEST_127,64.0,78.6
TEST_128,63.6,84.6
TEST_129,18.4,33.0
TEST_130,42.0,64.0
TEST_131,24.0,42.0
TEST_132,26.0,48.0
TEST_133,43.0,62.0
TEST_134,28.400000000000002,49.0
TEST_135,25.0,50.0
TEST_136,57.599999999999994,59.0
TEST_137,33.0,49.0
TEST_138,19.6,25.6
TEST_139,30.0,32.0
TEST_140,13.4,28.0
TEST_141,16.4,30.0
TEST_142,46.4,56.400000000000006
TEST_143,17.0,26.0
TEST_144,37.4,58.0
TEST_145,27.0,43.400000000000006
TEST_146,83.6,105.6
TEST_147,39.0,63.0
TEST_148,8.0,25.4
TEST_149,48.0,73.0
TEST_150,31.6,56.599999999999994
TEST_151,61.0,74.0
TEST_152,39.0,54.0
TEST_153,15.0,35.0
TEST_154,32.0,51.0
TEST_155,33.0,52.0
TEST_156,27.0,49.0
TEST_157,35.0,55.0
TEST_158,38.6,60.0
