num_date_time,answer
1_20220825 00,2070.7948150634766
1_20220825 01,2050.395050048828
1_20220825 02,1962.817153930664
1_20220825 03,1897.5645904541016
1_20220825 04,1891.5410919189453
1_20220825 05,1966.0616760253906
1_20220825 06,2183.1949005126953
1_20220825 07,2616.3462829589844
1_20220825 08,2974.693145751953
1_20220825 09,3460.239227294922
1_20220825 10,4075.799835205078
1_20220825 11,4206.623748779297
1_20220825 12,4234.224426269531
1_20220825 13,4261.5765380859375
1_20220825 14,4273.504180908203
1_20220825 15,4044.2279663085938
1_20220825 16,4078.165771484375
1_20220825 17,3549.8285217285156
1_20220825 18,2822.2298278808594
1_20220825 19,2664.203643798828
1_20220825 20,2432.4099731445312
1_20220825 21,1907.1838989257812
1_20220825 22,1556.356216430664
1_20220825 23,2067.789779663086
1_20220826 00,2174.0885467529297
1_20220826 01,2084.6131286621094
1_20220826 02,1959.724624633789
1_20220826 03,1883.3559112548828
1_20220826 04,1823.9047088623047
1_20220826 05,1975.1881866455078
1_20220826 06,2110.1115112304688
1_20220826 07,2589.474807739258
1_20220826 08,2964.3380737304688
1_20220826 09,3446.1612548828125
1_20220826 10,4045.742950439453
1_20220826 11,4265.365692138672
1_20220826 12,4223.342559814453
1_20220826 13,4241.315216064453
1_20220826 14,4234.8555908203125
1_20220826 15,4277.272613525391
1_20220826 16,4181.841552734375
1_20220826 17,3431.7210083007812
1_20220826 18,2767.4489135742188
1_20220826 19,2608.8259887695312
1_20220826 20,2376.888702392578
1_20220826 21,1902.8881378173828
1_20220826 22,1503.0666046142578
1_20220826 23,1996.5363006591797
1_20220827 00,1974.8553314208984
1_20220827 01,1874.5933380126953
1_20220827 02,1781.6670227050781
1_20220827 03,1748.8017120361328
1_20220827 04,1799.6498565673828
1_20220827 05,1897.3161163330078
1_20220827 06,2058.5533905029297
1_20220827 07,2430.5387268066406
1_20220827 08,2635.2774810791016
1_20220827 09,2991.360321044922
1_20220827 10,3653.2062072753906
1_20220827 11,3772.838409423828
1_20220827 12,3844.1165161132812
1_20220827 13,3812.6665649414062
1_20220827 14,3769.249298095703
1_20220827 15,3722.0886840820312
1_20220827 16,3664.790252685547
1_20220827 17,3292.4974975585938
1_20220827 18,2663.6705627441406
1_20220827 19,2583.2084045410156
1_20220827 20,2347.5718841552734
1_20220827 21,1853.354751586914
1_20220827 22,1470.9178314208984
1_20220827 23,1934.0404815673828
1_20220828 00,1747.6441497802734
1_20220828 01,1652.6001892089844
1_20220828 02,1545.8526306152344
1_20220828 03,1530.9642639160156
