num_date_time,answer
1_20220825 00,2068.0014266967773
1_20220825 01,2026.1978149414062
1_20220825 02,1914.0486221313477
1_20220825 03,1876.057228088379
1_20220825 04,1872.7320709228516
1_20220825 05,1948.0448837280273
1_20220825 06,2156.3917236328125
1_20220825 07,2580.102210998535
1_20220825 08,2952.0825805664062
1_20220825 09,3432.365524291992
1_20220825 10,4064.013381958008
1_20220825 11,4210.052719116211
1_20220825 12,4222.843811035156
1_20220825 13,4267.537139892578
1_20220825 14,4263.689407348633
1_20220825 15,4054.3446502685547
1_20220825 16,4033.9756469726562
1_20220825 17,3566.8546295166016
1_20220825 18,2781.996871948242
1_20220825 19,2640.1026916503906
1_20220825 20,2390.8383407592773
1_20220825 21,1898.5714263916016
1_20220825 22,1529.2040786743164
1_20220825 23,2035.3407821655273
1_20220826 00,2169.011199951172
1_20220826 01,2056.6909255981445
1_20220826 02,1930.2104187011719
1_20220826 03,1873.728858947754
1_20220826 04,1812.4013748168945
1_20220826 05,1986.0848236083984
1_20220826 06,2108.134452819824
1_20220826 07,2588.0578689575195
1_20220826 08,2971.628433227539
1_20220826 09,3409.3321228027344
1_20220826 10,4015.1080169677734
1_20220826 11,4264.413009643555
1_20220826 12,4229.778030395508
1_20220826 13,4259.197280883789
1_20220826 14,4261.758895874023
1_20220826 15,4241.985992431641
1_20220826 16,4138.7041015625
1_20220826 17,3436.0076599121094
1_20220826 18,2751.8230743408203
1_20220826 19,2582.603530883789
1_20220826 20,2346.526123046875
1_20220826 21,1919.1117477416992
1_20220826 22,1478.030746459961
1_20220826 23,1975.6987533569336
1_20220827 00,1955.2601776123047
1_20220827 01,1860.4597244262695
1_20220827 02,1713.07470703125
1_20220827 03,1689.3118133544922
1_20220827 04,1769.3725357055664
1_20220827 05,1892.5939712524414
1_20220827 06,2039.1225357055664
1_20220827 07,2480.764808654785
1_20220827 08,2611.5615997314453
1_20220827 09,2982.8159942626953
1_20220827 10,3634.2535095214844
1_20220827 11,3812.5737915039062
1_20220827 12,3879.3367614746094
1_20220827 13,3825.5455017089844
1_20220827 14,3772.108932495117
1_20220827 15,3734.0973205566406
1_20220827 16,3674.716094970703
1_20220827 17,3293.626449584961
1_20220827 18,2617.777862548828
1_20220827 19,2513.914810180664
1_20220827 20,2283.8555221557617
1_20220827 21,1809.530517578125
1_20220827 22,1424.3322067260742
1_20220827 23,1876.452651977539
1_20220828 00,1738.4088821411133
1_20220828 01,1646.2904205322266
1_20220828 02,1519.170783996582
1_20220828 03,1514.7638092041016
1_20220828 04,1520.1741333007812
1_20220828 05,1588.320053100586
1_20220828 06,1675.737892150879
1_20220828 07,1811.2554092407227
1_20220828 08,2043.3380813598633
1_20220828 09,2463.0718154907227
1_20220828 10,3055.7486267089844
1_20220828 11,3141.836181640625
1_20220828 12,3183.2935180664062
1_20220828 13,3193.725845336914
1_20220828 14,3154.1300354003906
1_20220828 15,3161.775100708008
1_20220828 16,3159.476837158203
1_20220828 17,3051.978256225586
1_20220828 18,2508.6835556030273
1_20220828 19,2354.3742599487305
1_20220828 20,2201.930793762207
1_20220828 21,1887.5083770751953
1_20220828 22,1489.6312789916992
1_20220828 23,2067.9817504882812
1_20220829 00,2210.6970291137695
1_20220829 01,2113.0546798706055
1_20220829 02,1975.807144165039
1_20220829 03,1927.6421661376953
1_20220829 04,1934.031364440918
1_20220829 05,2022.0823211669922
1_20220829 06,2153.4722213745117
1_20220829 07,2513.184097290039
1_20220829 08,2870.6367950439453
1_20220829 09,3309.1531524658203
1_20220829 10,3901.9535369873047
1_20220829 11,4135.242294311523
1_20220829 12,4137.866683959961
1_20220829 13,4165.773590087891
1_20220829 14,4098.938659667969
1_20220829 15,4046.0472564697266
1_20220829 16,3934.187774658203
1_20220829 17,3333.3846893310547
1_20220829 18,2640.4268341064453
1_20220829 19,2485.8292236328125
1_20220829 20,2261.4807891845703
1_20220829 21,1829.2944793701172
1_20220829 22,1450.921615600586
1_20220829 23,1950.979637145996
1_20220830 00,2076.950653076172
1_20220830 01,1983.3867874145508
1_20220830 02,1863.7733688354492
1_20220830 03,1725.1054306030273
1_20220830 04,1729.9113006591797
1_20220830 05,1846.6434020996094
1_20220830 06,2067.0004806518555
1_20220830 07,2506.6038818359375
1_20220830 08,2957.0458374023438
1_20220830 09,3360.0967559814453
1_20220830 10,3978.724822998047
1_20220830 11,4226.827774047852
