num_date_time,answer
1_20220825 00,2139.9116196439345
1_20220825 01,1996.2269067744182
1_20220825 02,2096.2105682981874
1_20220825 03,2026.8151972943015
1_20220825 04,1857.594094915306
1_20220825 05,1947.052526842837
1_20220825 06,2040.4304377709418
1_20220825 07,2096.363279107959
1_20220825 08,2655.4792801633657
1_20220825 09,2860.9156473391677
1_20220825 10,2579.581742478412
1_20220825 11,2845.705059156228
1_20220825 12,2625.7742944980873
1_20220825 13,2928.400698826423
1_20220825 14,2980.6346092192794
1_20220825 15,2265.820634563529
1_20220825 16,2833.5556987578775
1_20220825 17,2768.3523854170985
1_20220825 18,2470.833634603312
1_20220825 19,2359.942088654891
1_20220825 20,2364.8997511440584
1_20220825 21,2235.2167999236667
1_20220825 22,1650.759174822036
1_20220825 23,1711.2058052956434
1_20220826 00,1786.5419611124319
1_20220826 01,1769.1410144044976
1_20220826 02,1769.1410144044976
1_20220826 03,1726.185541521401
1_20220826 04,1719.626272952202
1_20220826 05,1510.4152345271314
1_20220826 06,1617.605315920934
1_20220826 07,1864.1753845129047
1_20220826 08,2521.2872703293083
1_20220826 09,2510.020918008335
1_20220826 10,2912.9569223875924
1_20220826 11,2858.8615378537816
1_20220826 12,3216.050695999389
1_20220826 13,3156.6549979757265
1_20220826 14,3227.0242178890403
1_20220826 15,3226.7902815946118
1_20220826 16,3198.3848258376374
1_20220826 17,2958.0162954726966
1_20220826 18,2780.9480181371114
1_20220826 19,2581.5990436309403
1_20220826 20,2553.9501094515035
1_20220826 21,2414.2162447584024
1_20220826 22,2302.617524278611
1_20220826 23,2211.9732087765865
1_20220827 00,2167.397940690471
1_20220827 01,2174.011600233405
1_20220827 02,1511.8081679940267
1_20220827 03,1453.4442375524216
1_20220827 04,1773.879011735989
1_20220827 05,1580.1250773035486
1_20220827 06,1915.5441147358179
1_20220827 07,1970.644181858116
1_20220827 08,2363.64699218186
1_20220827 09,2511.8369301519706
1_20220827 10,2531.144014675952
1_20220827 11,2647.638602607496
1_20220827 12,2583.6405265401927
1_20220827 13,2674.9587187135903
1_20220827 14,2858.8519214704693
1_20220827 15,2833.365817271639
1_20220827 16,2833.6109358208496
1_20220827 17,2756.0368540271197
1_20220827 18,2623.287178520505
1_20220827 19,2482.8047038850896
1_20220827 20,2051.26710123312
1_20220827 21,2197.193649237924
1_20220827 22,2060.1310974441108
1_20220827 23,2060.256185514349
1_20220828 00,1765.5062456461517
1_20220828 01,1580.2996876886373
1_20220828 02,1541.8379872611893
1_20220828 03,1775.4041894301681
1_20220828 04,1780.1987741659796
1_20220828 05,1855.787563009105
1_20220828 06,1830.8473312320903
1_20220828 07,1937.8181309908941
1_20220828 08,2363.8800407168856
1_20220828 09,2520.461513518102
1_20220828 10,2581.3735287858367
1_20220828 11,2568.9613809015673
1_20220828 12,2855.688969844084
1_20220828 13,2867.9250752233393
1_20220828 14,2841.458049196318
1_20220828 15,2709.5945384002166
1_20220828 16,2642.3497272149243
1_20220828 17,2581.6941428352543
1_20220828 18,2592.456165275691
1_20220828 19,2422.73808216371
1_20220828 20,2537.7039988610913
1_20220828 21,2019.3017259685932
1_20220828 22,1651.1390439218815
1_20220828 23,1652.597091849427
1_20220829 00,1975.8629376276303
1_20220829 01,1850.6409416058327
1_20220829 02,1997.979582505104
1_20220829 03,1834.5754329632337
1_20220829 04,1676.2888982520144
1_20220829 05,1684.2961602963617
1_20220829 06,1932.9519212383339
1_20220829 07,2103.3226160816866
1_20220829 08,2319.4079415165097
1_20220829 09,2508.830846415985
1_20220829 10,2596.1732864653577
1_20220829 11,2580.7712641413605
1_20220829 12,2441.0769511739254
1_20220829 13,2368.3442405589785
1_20220829 14,2523.351586322835
1_20220829 15,2694.537623923211
1_20220829 16,2703.8863971917694
1_20220829 17,2364.217332975422
1_20220829 18,2246.394935688559
1_20220829 19,1986.5808980321049
1_20220829 20,2275.207367482221
1_20220829 21,2145.3238580188063
1_20220829 22,2148.839834450865
1_20220829 23,2120.673423012744
1_20220830 00,1841.2757446899643
1_20220830 01,1837.7553943960609
1_20220830 02,1865.522465354728
1_20220830 03,1556.019353426395
1_20220830 04,1632.278085531677
1_20220830 05,1285.1357627875416
1_20220830 06,1439.1846066767291
1_20220830 07,1540.7858605060287
1_20220830 08,1884.9902248231149
1_20220830 09,2126.6549560287554
1_20220830 10,2228.3381824656058
1_20220830 11,2250.198876894986
1_20220830 12,2288.105711385482
1_20220830 13,2251.3120070890395
1_20220830 14,2287.8408048119836
1_20220830 15,2310.6498677520067
1_20220830 16,2255.2868984499087
1_20220830 17,2191.3367697558324
1_20220830 18,1738.5977578064853
1_20220830 19,2103.204114572964
1_20220830 20,2058.874822400254
1_20220830 21,1730.1887911804276
1_20220830 22,1910.132925571102
1_20220830 23,1679.216503504278
1_20220831 00,1509.6358101161761
1_20220831 01,1610.0025635305476
