num_date_time,answer
1_20220825 00,2056.07377243042
1_20220825 01,2028.5776062011719
1_20220825 02,1905.8113594055178
1_20220825 03,1861.1076545715332
1_20220825 04,1871.1247024536135
1_20220825 05,1943.4407768249512
1_20220825 06,2154.0792846679688
1_20220825 07,2478.0938301086426
1_20220825 08,2944.1893615722656
1_20220825 09,3394.5290756225586
1_20220825 10,4031.854103088379
1_20220825 11,4201.4926681518555
1_20220825 12,4248.959259033203
1_20220825 13,4226.424819946289
1_20220825 14,4256.605690002441
1_20220825 15,4031.638023376465
1_20220825 16,3904.5792541503906
1_20220825 17,3390.0490188598633
1_20220825 18,2724.232078552246
1_20220825 19,2580.2732696533203
1_20220825 20,2344.915630340576
1_20220825 21,1901.0108108520508
1_20220825 22,1543.3572883605957
1_20220825 23,1993.2966117858887
1_20220826 00,2176.863510131836
1_20220826 01,2036.0007362365723
1_20220826 02,1907.2698211669922
1_20220826 03,1849.737232208252
1_20220826 04,1771.9275550842285
1_20220826 05,1980.1314010620117
1_20220826 06,2121.178554534912
1_20220826 07,2521.8625526428223
1_20220826 08,2932.0803298950195
1_20220826 09,3419.9469451904297
1_20220826 10,4010.2341842651367
1_20220826 11,4288.846153259277
1_20220826 12,4245.072608947754
1_20220826 13,4305.7258377075195
1_20220826 14,4253.263236999512
1_20220826 15,4287.47200012207
1_20220826 16,4128.40380859375
1_20220826 17,3311.743942260742
1_20220826 18,2710.11563873291
1_20220826 19,2523.297737121582
1_20220826 20,2253.93896484375
1_20220826 21,1891.323329925537
1_20220826 22,1457.3787155151367
1_20220826 23,1944.4344596862793
1_20220827 00,1932.2085189819336
1_20220827 01,1835.3577919006348
1_20220827 02,1714.503662109375
1_20220827 03,1691.6498641967773
1_20220827 04,1730.1634407043457
1_20220827 05,1865.069507598877
1_20220827 06,2043.6186408996582
1_20220827 07,2367.54487991333
1_20220827 08,2529.612953186035
1_20220827 09,2824.4731826782227
1_20220827 10,3546.1691131591797
1_20220827 11,3787.618438720703
1_20220827 12,3823.6681365966797
1_20220827 13,3800.1529998779297
1_20220827 14,3744.5476303100586
1_20220827 15,3678.7657012939453
1_20220827 16,3588.125259399414
1_20220827 17,3189.4804611206055
1_20220827 18,2596.8360748291016
1_20220827 19,2474.477668762207
1_20220827 20,2258.212917327881
1_20220827 21,1795.3926391601562
1_20220827 22,1456.785732269287
1_20220827 23,1888.0813674926758
1_20220828 00,1762.052890777588
1_20220828 01,1697.463264465332
1_20220828 02,1515.2203407287598
1_20220828 03,1516.077522277832
1_20220828 04,1528.1291809082031
1_20220828 05,1617.7827682495117
1_20220828 06,1655.0897102355957
1_20220828 07,1725.5384101867676
1_20220828 08,1917.9609718322754
1_20220828 09,2188.9582710266113
1_20220828 10,2858.494674682617
1_20220828 11,3062.211669921875
1_20220828 12,3161.7418518066406
1_20220828 13,3181.851203918457
1_20220828 14,3143.6431427001953
1_20220828 15,3130.792823791504
1_20220828 16,3094.9408111572266
1_20220828 17,2987.567008972168
1_20220828 18,2555.1318168640137
1_20220828 19,2387.4754600524902
1_20220828 20,2174.6292152404785
1_20220828 21,1891.2538833618164
1_20220828 22,1515.3551902770996
1_20220828 23,2052.6617126464844
1_20220829 00,2237.0505409240723
1_20220829 01,2166.1464805603027
1_20220829 02,2035.590705871582
1_20220829 03,1984.0035781860352
1_20220829 04,2003.8007164001465
1_20220829 05,2116.0119857788086
1_20220829 06,2226.493923187256
1_20220829 07,2388.7099685668945
1_20220829 08,2821.63761138916
1_20220829 09,3270.3083877563477
1_20220829 10,3903.12508392334
1_20220829 11,4165.826713562012
1_20220829 12,4157.9484786987305
1_20220829 13,4169.918533325195
1_20220829 14,4128.740325927734
1_20220829 15,4026.6688919067383
1_20220829 16,3877.8712310791016
1_20220829 17,3260.0526962280273
1_20220829 18,2634.6081924438477
1_20220829 19,2446.4011840820312
1_20220829 20,2258.918128967285
1_20220829 21,1854.1808700561521
1_20220829 22,1481.6542282104492
1_20220829 23,1957.3268547058105
1_20220830 00,2122.953353881836
1_20220830 01,2040.932041168213
1_20220830 02,1918.2668113708494
1_20220830 03,1755.8480033874512
1_20220830 04,1755.2303085327148
1_20220830 05,1874.4434051513672
1_20220830 06,2129.1723594665527
1_20220830 07,2465.2914428710938
1_20220830 08,2955.1595153808594
1_20220830 09,3362.717933654785
1_20220830 10,3976.1819915771484
1_20220830 11,4250.994697570801
1_20220830 12,4270.871421813965
1_20220830 13,4251.477745056152
1_20220830 14,4229.6068115234375
1_20220830 15,4100.668731689453
1_20220830 16,3926.493850708008
1_20220830 17,3389.673324584961
1_20220830 18,2688.3194580078125
1_20220830 19,2559.1455421447754
1_20220830 20,2337.436611175537
1_20220830 21,1881.4042778015137
1_20220830 22,1498.7322006225586
1_20220830 23,1959.8257064819336
1_20220831 00,2156.657238006592
1_20220831 01,1994.800521850586
1_20220831 02,1827.0402908325195
1_20220831 03,1788.1313247680664
1_20220831 04,1829.3739204406738
1_20220831 05,1900.4495697021484
1_20220831 06,2118.5050621032715
1_20220831 07,2439.9262466430664
1_20220831 08,2926.787338256836
1_20220831 09,3384.038330078125
1_20220831 10,4009.673179626465
1_20220831 11,4231.673843383789
1_20220831 12,4263.149864196777
1_20220831 13,4283.834991455078
1_20220831 14,4275.262382507324
1_20220831 15,4117.480415344238
1_20220831 16,3974.498291015625
1_20220831 17,3329.8910217285156
1_20220831 18,2617.004837036133
1_20220831 19,2505.135730743408
1_20220831 20,2309.939136505127
1_20220831 21,1851.2470359802244
1_20220831 22,1493.8493347167969
1_20220831 23,1922.7105674743652
2_20220825 00,1255.366367340088
2_20220825 01,1281.3849697113037
2_20220825 02,1261.7911853790283
2_20220825 03,1235.4283809661865
2_20220825 04,1242.8703994750977
2_20220825 05,1221.2452011108398
2_20220825 06,1243.6905670166016
2_20220825 07,1202.1987190246582
2_20220825 08,1786.0003929138184
2_20220825 09,2016.8089752197266
2_20220825 10,2292.144012451172
2_20220825 11,2194.1377143859863
2_20220825 12,2282.360668182373
2_20220825 13,2259.899326324463
2_20220825 14,2290.197566986084
2_20220825 15,2192.742618560791
2_20220825 16,2192.2375106811523
2_20220825 17,2145.4302978515625
2_20220825 18,2071.5076866149902
2_20220825 19,1902.8932571411133
2_20220825 20,1696.9270248413086
2_20220825 21,1421.2528038024902
2_20220825 22,1003.8878307342529
2_20220825 23,1329.023696899414
2_20220826 00,1257.7220783233643
2_20220826 01,1236.5534839630127
2_20220826 02,1235.1288471221924
2_20220826 03,1173.215440750122
2_20220826 04,1166.8674221038818
2_20220826 05,1185.9282360076904
2_20220826 06,1166.6714763641357
2_20220826 07,1143.8655624389648
2_20220826 08,1713.6169052124023
2_20220826 09,2020.116798400879
2_20220826 10,2163.533645629883
2_20220826 11,2213.034870147705
2_20220826 12,2084.348346710205
2_20220826 13,2094.8438720703125
2_20220826 14,2073.040496826172
2_20220826 15,2129.4107627868652
2_20220826 16,2122.796859741211
2_20220826 17,2065.6323013305664
2_20220826 18,2005.2387619018555
2_20220826 19,1828.2611694335938
2_20220826 20,1675.1548042297363
2_20220826 21,1449.9737281799316
2_20220826 22,953.4882869720459
2_20220826 23,1281.3829936981201
2_20220827 00,1224.285322189331
2_20220827 01,1227.4880294799805
2_20220827 02,1247.9186325073242
2_20220827 03,1163.9222106933594
2_20220827 04,1104.5913791656494
2_20220827 05,1070.9632759094238
2_20220827 06,847.4977111816406
2_20220827 07,937.4180583953857
2_20220827 08,1593.0238456726074
2_20220827 09,1919.9404830932617
2_20220827 10,2037.6288528442383
2_20220827 11,2051.8958015441895
2_20220827 12,2136.4881019592285
2_20220827 13,2165.027645111084
2_20220827 14,2212.17049407959
2_20220827 15,2206.782573699951
2_20220827 16,2180.266429901123
2_20220827 17,2099.821834564209
2_20220827 18,1883.4257926940918
2_20220827 19,1651.8614082336426
2_20220827 20,1462.758659362793
2_20220827 21,1164.9836521148682
2_20220827 22,780.1261787414551
2_20220827 23,1159.0396823883057
2_20220828 00,1132.9895191192627
2_20220828 01,1095.101167678833
2_20220828 02,1093.3107528686523
2_20220828 03,1011.8861961364746
2_20220828 04,927.4720039367676
2_20220828 05,753.9021434783936
2_20220828 06,706.2048797607422
2_20220828 07,778.5499877929688
2_20220828 08,1483.8441886901855
2_20220828 09,1813.8136711120605
2_20220828 10,2027.3951034545898
2_20220828 11,2045.5244636535645
2_20220828 12,2074.7512969970703
2_20220828 13,2078.2988624572754
2_20220828 14,2119.351360321045
2_20220828 15,2102.2756996154785
2_20220828 16,2090.6870155334473
2_20220828 17,1969.013370513916
2_20220828 18,1772.7100944519043
2_20220828 19,1507.639060974121
2_20220828 20,1188.0602130889893
2_20220828 21,1037.8963203430176
2_20220828 22,777.007381439209
2_20220828 23,1244.3010902404785
2_20220829 00,1242.63987159729
2_20220829 01,1248.581699371338
2_20220829 02,1208.740400314331
