ID,수요량
TEST_0000,226.40979
TEST_0001,40.04062
TEST_0002,363.87958
TEST_0003,166.79303
TEST_0004,218.65173
TEST_0005,204.04749
TEST_0006,184.4212
TEST_0007,819.2866
TEST_0008,164.50919
TEST_0009,341.88184
TEST_0010,75.70299
TEST_0011,87.60205
TEST_0012,137.95895
TEST_0013,214.93799
TEST_0014,111.80522
TEST_0015,49.103195
TEST_0016,54.996887
TEST_0017,371.7847
TEST_0018,188.61716
TEST_0019,21.618235
TEST_0020,56.355392
TEST_0021,60.271072
TEST_0022,62.71335
TEST_0023,46.555573
TEST_0024,379.35907
TEST_0025,63.50038
TEST_0026,231.24048
TEST_0027,807.2443
TEST_0028,801.1422
TEST_0029,398.81177
TEST_0030,328.83417
TEST_0031,421.27997
TEST_0032,50.66086
TEST_0033,79.839
TEST_0034,522.1109
TEST_0035,1402.645
TEST_0036,887.20825
TEST_0037,632.9278
TEST_0038,88.37303
TEST_0039,397.61658
TEST_0040,86.06749
TEST_0041,48.922028
TEST_0042,411.39014
TEST_0043,72.89939
TEST_0044,923.06476
TEST_0045,203.01524
TEST_0046,657.7829
TEST_0047,93.08182
TEST_0048,206.80722
TEST_0049,47.885006
TEST_0050,80.294205
TEST_0051,617.57605
TEST_0052,47.52333
TEST_0053,190.06387
TEST_0054,162.19458
TEST_0055,1144.727
TEST_0056,40.512875
TEST_0057,140.684
TEST_0058,269.79892
TEST_0059,2294.645
TEST_0060,323.73914
TEST_0061,595.65515
TEST_0062,69.37068
TEST_0063,253.77628
TEST_0064,247.57083
TEST_0065,995.47876
TEST_0066,241.54517
TEST_0067,66.42816
TEST_0068,591.2217
TEST_0069,342.66156
TEST_0070,310.15622
TEST_0071,35.043495
TEST_0072,73.19028
TEST_0073,226.71468
TEST_0074,14.944937
TEST_0075,233.863
TEST_0076,63.472244
TEST_0077,234.8284
TEST_0078,106.0125
TEST_0079,280.9742
TEST_0080,310.75305
TEST_0081,992.6736
TEST_0082,96.86313
TEST_0083,529.55566
TEST_0084,101.627495
TEST_0085,29.172024
TEST_0086,268.61807
TEST_0087,78.16731
TEST_0088,71.337036
TEST_0089,80.12602
TEST_0090,36.468407
TEST_0091,368.05005
TEST_0092,506.64255
TEST_0093,130.32626
TEST_0094,129.78262
TEST_0095,391.8695
TEST_0096,633.87024
TEST_0097,38.051617
TEST_0098,296.5763
TEST_0099,595.0183
TEST_0100,42.392212
TEST_0101,258.78796
TEST_0102,45.41912
TEST_0103,502.4231
TEST_0104,54.57547
TEST_0105,60.334827
TEST_0106,181.32947
TEST_0107,951.46826
TEST_0108,213.0762
TEST_0109,152.28195
TEST_0110,119.813416
TEST_0111,97.12839
TEST_0112,134.24077
TEST_0113,572.45856
TEST_0114,61.61782
TEST_0115,594.9443
TEST_0116,954.3772
TEST_0117,62.95292
TEST_0118,327.93994
TEST_0119,296.01324
TEST_0120,396.77997
TEST_0121,69.1723
TEST_0122,327.899
TEST_0123,59.115917
TEST_0124,617.147
TEST_0125,57.835228
TEST_0126,138.4399
TEST_0127,166.74197
TEST_0128,244.61119
TEST_0129,416.91797
TEST_0130,233.00021
TEST_0131,83.784256
TEST_0132,280.4088
TEST_0133,191.18448
TEST_0134,102.04294
TEST_0135,579.211
TEST_0136,54.2448
TEST_0137,19.45818
TEST_0138,38.090626
TEST_0139,345.37134
TEST_0140,544.8794
TEST_0141,187.62914
TEST_0142,1205.9873
TEST_0143,57.932926
TEST_0144,358.9264
TEST_0145,292.09378
TEST_0146,32.939983
TEST_0147,461.74353
TEST_0148,411.92896
TEST_0149,173.19089
TEST_0150,56.128235
TEST_0151,668.7673
TEST_0152,38.574112
TEST_0153,45.325245
TEST_0154,65.03589
TEST_0155,135.51205
TEST_0156,17.308651
TEST_0157,58.923775
TEST_0158,326.6059
TEST_0159,93.53548
TEST_0160,248.1582
TEST_0161,104.52862
TEST_0162,178.77696
TEST_0163,57.382652
TEST_0164,103.276405
TEST_0165,45.32331
TEST_0166,169.18494
TEST_0167,21.460968
TEST_0168,50.083282
TEST_0169,247.25003
TEST_0170,93.45384
TEST_0171,1117.8662
TEST_0172,200.73337
TEST_0173,518.5792
TEST_0174,367.52734
TEST_0175,470.57343
TEST_0176,341.05722
TEST_0177,50.057533
TEST_0178,88.197044
TEST_0179,466.38837
TEST_0180,118.45035
TEST_0181,254.3168
TEST_0182,530.7294
TEST_0183,32.316036
TEST_0184,363.68268
TEST_0185,190.46779
TEST_0186,639.06586
TEST_0187,47.129288
TEST_0188,370.82678
TEST_0189,91.5083
TEST_0190,110.32974
TEST_0191,34.1721
TEST_0192,741.0107
TEST_0193,40.413246
TEST_0194,2608.6885
TEST_0195,118.61206
TEST_0196,23.88249
TEST_0197,26.15555
TEST_0198,260.42126
TEST_0199,274.08383
TEST_0200,400.51846
TEST_0201,34.90102
TEST_0202,46.602043
TEST_0203,242.68694
TEST_0204,97.41458
TEST_0205,184.94727
TEST_0206,256.18045
TEST_0207,132.09613
TEST_0208,357.15588
TEST_0209,63.429886
TEST_0210,47.650436
TEST_0211,99.79904
TEST_0212,202.94173
TEST_0213,375.59366
TEST_0214,471.10806
TEST_0215,50.984726
TEST_0216,552.9656
TEST_0217,90.97389
TEST_0218,52.084152
TEST_0219,454.9698
TEST_0220,665.9875
TEST_0221,692.11755
TEST_0222,106.22467
TEST_0223,89.76309
TEST_0224,138.66576
TEST_0225,165.67374
TEST_0226,158.5648
TEST_0227,204.71188
TEST_0228,26.872356
TEST_0229,468.36615
TEST_0230,60.207382
TEST_0231,470.6314
TEST_0232,101.735054
TEST_0233,222.11317
TEST_0234,212.34634
TEST_0235,85.38663
TEST_0236,57.108345
TEST_0237,86.22707
TEST_0238,164.68637
TEST_0239,93.92672
TEST_0240,36.699158
TEST_0241,31.531048
TEST_0242,1251.4438
TEST_0243,233.53587
TEST_0244,430.91028
TEST_0245,160.07912
TEST_0246,63.051384
TEST_0247,49.230213
TEST_0248,200.41194
TEST_0249,75.76689
TEST_0250,51.8592
TEST_0251,337.6627
TEST_0252,232.02925
TEST_0253,94.465225
TEST_0254,519.1062
TEST_0255,591.63477
TEST_0256,84.05392
TEST_0257,1244.7605
TEST_0258,115.95151
TEST_0259,272.01788
TEST_0260,31.917454
TEST_0261,620.34924
TEST_0262,1010.2781
TEST_0263,111.45077
TEST_0264,109.6566
TEST_0265,73.92241
TEST_0266,765.6974
TEST_0267,395.3499
TEST_0268,22.087965
TEST_0269,488.3147
TEST_0270,309.11115
TEST_0271,103.60167
TEST_0272,51.652847
TEST_0273,135.40817
TEST_0274,152.86862
TEST_0275,53.52958
TEST_0276,222.5943
TEST_0277,275.50275
TEST_0278,73.7185
TEST_0279,378.74585
TEST_0280,60.945137
TEST_0281,57.080574
TEST_0282,197.54163
TEST_0283,64.382256
TEST_0284,99.75847
TEST_0285,28.442062
TEST_0286,335.72614
TEST_0287,19.854027
TEST_0288,105.85772
TEST_0289,117.37338
TEST_0290,480.34625
TEST_0291,40.876633
TEST_0292,162.62383
TEST_0293,212.44745
TEST_0294,43.968296
TEST_0295,255.3727
TEST_0296,12.190654
TEST_0297,79.0441
TEST_0298,960.3655
TEST_0299,245.32755
TEST_0300,56.964172
TEST_0301,106.82938
TEST_0302,478.20505
TEST_0303,145.24117
TEST_0304,319.7303
TEST_0305,234.44012
TEST_0306,109.04767
TEST_0307,50.699993
TEST_0308,231.70476
TEST_0309,419.51898
TEST_0310,72.804794
TEST_0311,65.30755
TEST_0312,75.81581
TEST_0313,122.3403
TEST_0314,82.69142
TEST_0315,47.44789
TEST_0316,187.29547
TEST_0317,25.488663
TEST_0318,545.6444
TEST_0319,166.96323
TEST_0320,34.460766
TEST_0321,30.866405
TEST_0322,133.71422
TEST_0323,151.34412
TEST_0324,41.740047
TEST_0325,287.53836
TEST_0326,1046.9407
TEST_0327,307.9558
TEST_0328,163.78851
TEST_0329,59.648296
TEST_0330,51.45758
TEST_0331,198.27864
TEST_0332,72.56198
TEST_0333,71.019394
TEST_0334,134.92973
TEST_0335,182.59964
TEST_0336,631.1633
TEST_0337,31.491428
TEST_0338,237.63927
TEST_0339,72.64888
TEST_0340,78.89231
TEST_0341,373.36713
TEST_0342,227.59233
TEST_0343,67.50111
TEST_0344,58.24267
TEST_0345,92.360344
TEST_0346,150.94559
TEST_0347,163.6183
TEST_0348,124.521454
TEST_0349,186.44829
TEST_0350,578.0659
TEST_0351,747.177
TEST_0352,84.96123
TEST_0353,590.12964
TEST_0354,71.66043
TEST_0355,335.26727
TEST_0356,46.30618
TEST_0357,84.373825
TEST_0358,268.33405
TEST_0359,257.84036
TEST_0360,22.406013
TEST_0361,412.905
TEST_0362,87.06641
TEST_0363,86.30885
TEST_0364,376.91724
TEST_0365,107.79898
TEST_0366,60.777786
TEST_0367,374.92938
TEST_0368,275.51437
TEST_0369,39.820198
TEST_0370,63.140472
TEST_0371,161.19655
TEST_0372,279.57004
TEST_0373,285.6676
TEST_0374,206.20656
TEST_0375,532.0767
TEST_0376,46.344017
TEST_0377,66.144455
TEST_0378,45.77521
TEST_0379,172.51266
TEST_0380,52.670574
TEST_0381,99.61807
TEST_0382,261.55524
TEST_0383,42.262028
TEST_0384,30.173021
TEST_0385,69.981964
TEST_0386,257.62982
TEST_0387,79.51051
TEST_0388,597.9269
TEST_0389,17.282495
TEST_0390,109.78609
TEST_0391,51.811775
TEST_0392,23.477633
TEST_0393,281.98468
TEST_0394,156.04472
TEST_0395,78.18509
TEST_0396,41.545906
TEST_0397,412.36792
TEST_0398,227.16254
TEST_0399,236.27406
TEST_0400,43.55318
TEST_0401,109.896515
TEST_0402,30.8146
TEST_0403,49.134384
TEST_0404,127.078064
TEST_0405,56.898376
TEST_0406,138.97499
TEST_0407,12.732058
TEST_0408,126.633385
TEST_0409,59.47445
TEST_0410,39.392807
TEST_0411,164.93358
TEST_0412,243.30981
TEST_0413,424.24847
TEST_0414,18.872885
TEST_0415,445.5788
TEST_0416,331.8484
TEST_0417,160.60222
TEST_0418,34.32336
TEST_0419,51.93418
TEST_0420,61.179695
TEST_0421,138.34021
TEST_0422,908.56116
TEST_0423,72.649826
TEST_0424,740.40454
TEST_0425,173.66539
TEST_0426,52.63526
TEST_0427,466.7256
TEST_0428,322.49832
TEST_0429,168.90291
TEST_0430,53.48785
TEST_0431,169.28117
TEST_0432,220.54895
TEST_0433,303.91656
TEST_0434,589.2241
TEST_0435,1216.6328
TEST_0436,118.613174
TEST_0437,222.94476
TEST_0438,322.41095
TEST_0439,387.28442
TEST_0440,313.03085
TEST_0441,176.37682
TEST_0442,26.27909
TEST_0443,104.92256
TEST_0444,116.41586
TEST_0445,20.314112
TEST_0446,80.20909
TEST_0447,415.06387
TEST_0448,59.13234
TEST_0449,770.6228
TEST_0450,272.99774
TEST_0451,124.52309
TEST_0452,210.5791
TEST_0453,523.0023
TEST_0454,111.13298
TEST_0455,202.39978
TEST_0456,401.64072
TEST_0457,100.19901
TEST_0458,838.7511
TEST_0459,605.5145
TEST_0460,1315.3442
TEST_0461,431.96185
TEST_0462,30.215897
TEST_0463,200.55704
TEST_0464,896.95667
TEST_0465,22.057392
TEST_0466,366.003
TEST_0467,483.27075
TEST_0468,98.29419
TEST_0469,1513.0375
TEST_0470,242.04367
TEST_0471,48.903835
TEST_0472,70.35929
TEST_0473,936.7164
TEST_0474,1360.185
