ID,수요량
TEST_0000,197.04074
TEST_0001,40.75825
TEST_0002,238.93323
TEST_0003,204.17519
TEST_0004,191.04416
TEST_0005,214.00145
TEST_0006,177.51106
TEST_0007,594.09357
TEST_0008,254.63885
TEST_0009,375.29782
TEST_0010,96.35325
TEST_0011,92.11846
TEST_0012,269.4054
TEST_0013,207.02525
TEST_0014,91.29516
TEST_0015,42.92808
TEST_0016,41.49523
TEST_0017,300.9612
TEST_0018,139.95984
TEST_0019,31.685467
TEST_0020,79.45854
TEST_0021,72.948105
TEST_0022,74.64165
TEST_0023,42.047432
TEST_0024,419.66125
TEST_0025,51.00778
TEST_0026,184.25415
TEST_0027,513.5169
TEST_0028,826.7476
TEST_0029,357.60367
TEST_0030,333.3162
TEST_0031,369.38663
TEST_0032,79.71616
TEST_0033,50.108902
TEST_0034,421.22836
TEST_0035,1691.271
TEST_0036,659.04926
TEST_0037,722.592
TEST_0038,94.61051
TEST_0039,453.79785
TEST_0040,96.795334
TEST_0041,37.685806
TEST_0042,692.3912
TEST_0043,55.422302
TEST_0044,1026.3188
TEST_0045,189.15202
TEST_0046,680.9137
TEST_0047,121.841354
TEST_0048,109.863174
TEST_0049,49.598873
TEST_0050,69.08564
TEST_0051,728.3612
TEST_0052,42.827682
TEST_0053,206.16756
TEST_0054,150.36794
TEST_0055,897.207
TEST_0056,48.37018
TEST_0057,99.50483
TEST_0058,304.685
TEST_0059,1464.7886
TEST_0060,351.2628
TEST_0061,702.2908
TEST_0062,65.123795
TEST_0063,272.6624
TEST_0064,341.65924
TEST_0065,812.0276
TEST_0066,420.42343
TEST_0067,63.756584
TEST_0068,469.79526
TEST_0069,379.18445
TEST_0070,284.3462
TEST_0071,54.866768
TEST_0072,66.66491
TEST_0073,318.65427
TEST_0074,26.43335
TEST_0075,243.34645
TEST_0076,65.48184
TEST_0077,239.16426
TEST_0078,164.83475
TEST_0079,463.36945
TEST_0080,321.83807
TEST_0081,712.6522
TEST_0082,116.83102
TEST_0083,513.39026
TEST_0084,62.165222
TEST_0085,9.788243
TEST_0086,165.70961
TEST_0087,63.938732
TEST_0088,41.273293
TEST_0089,68.26173
TEST_0090,27.948818
TEST_0091,477.47794
TEST_0092,549.5569
TEST_0093,156.31865
TEST_0094,218.85863
TEST_0095,435.7069
TEST_0096,469.94293
TEST_0097,33.33266
TEST_0098,260.0506
TEST_0099,462.3306
TEST_0100,73.35373
TEST_0101,194.98903
TEST_0102,42.082462
TEST_0103,432.21753
TEST_0104,56.527744
TEST_0105,63.915268
TEST_0106,150.08499
TEST_0107,573.6685
TEST_0108,219.07098
TEST_0109,128.68787
TEST_0110,106.224236
TEST_0111,80.26986
TEST_0112,177.97
TEST_0113,477.00677
TEST_0114,43.511864
TEST_0115,525.21106
TEST_0116,569.51215
TEST_0117,53.258026
TEST_0118,229.82594
TEST_0119,294.44263
TEST_0120,240.35516
TEST_0121,107.191895
TEST_0122,386.26013
TEST_0123,60.55599
TEST_0124,482.6803
TEST_0125,45.904247
TEST_0126,149.48984
TEST_0127,208.14572
TEST_0128,250.21733
TEST_0129,385.38455
TEST_0130,388.6553
TEST_0131,61.831726
TEST_0132,255.89384
TEST_0133,173.55777
TEST_0134,62.035767
TEST_0135,852.32355
TEST_0136,57.431595
TEST_0137,24.551113
TEST_0138,41.194374
TEST_0139,389.80353
TEST_0140,707.8163
TEST_0141,163.37753
TEST_0142,992.4661
TEST_0143,50.955635
TEST_0144,422.8086
TEST_0145,336.72772
TEST_0146,34.93679
TEST_0147,472.0428
TEST_0148,509.1113
TEST_0149,171.88701
TEST_0150,50.19846
TEST_0151,511.67676
TEST_0152,33.856514
TEST_0153,37.43422
TEST_0154,47.956085
TEST_0155,212.08536
TEST_0156,22.785336
TEST_0157,36.9462
TEST_0158,335.8098
TEST_0159,95.46007
TEST_0160,210.53995
TEST_0161,125.579216
TEST_0162,190.10052
TEST_0163,77.88702
TEST_0164,67.897156
TEST_0165,30.813063
TEST_0166,296.63553
TEST_0167,48.23854
TEST_0168,100.41513
TEST_0169,220.99072
TEST_0170,106.61868
TEST_0171,1184.7898
TEST_0172,226.55318
TEST_0173,485.39764
TEST_0174,418.3733
TEST_0175,487.89456
TEST_0176,436.4978
TEST_0177,40.226624
TEST_0178,109.54349
TEST_0179,492.285
TEST_0180,151.74886
TEST_0181,265.5132
TEST_0182,1014.0621
TEST_0183,31.729769
TEST_0184,349.62878
TEST_0185,397.20844
TEST_0186,465.83292
TEST_0187,80.31512
TEST_0188,374.54782
TEST_0189,132.06886
TEST_0190,183.9133
TEST_0191,52.426548
TEST_0192,836.804
TEST_0193,41.295628
TEST_0194,2313.873
TEST_0195,97.721245
TEST_0196,30.901558
TEST_0197,22.31304
TEST_0198,382.64258
TEST_0199,204.10805
TEST_0200,415.72714
TEST_0201,38.74071
TEST_0202,35.566944
TEST_0203,212.61874
TEST_0204,101.726265
TEST_0205,199.26566
TEST_0206,381.09433
TEST_0207,139.45607
TEST_0208,318.14774
TEST_0209,47.359207
TEST_0210,44.140053
TEST_0211,107.48167
TEST_0212,295.27106
TEST_0213,247.93082
TEST_0214,453.68176
TEST_0215,43.84926
TEST_0216,478.02853
TEST_0217,106.26381
TEST_0218,52.451633
TEST_0219,417.38565
TEST_0220,710.5425
TEST_0221,475.5353
TEST_0222,117.1854
TEST_0223,75.005196
TEST_0224,142.14975
TEST_0225,287.4693
TEST_0226,148.80571
TEST_0227,197.82375
TEST_0228,35.311626
TEST_0229,358.8274
TEST_0230,60.020664
TEST_0231,506.61884
TEST_0232,98.00689
TEST_0233,236.96977
TEST_0234,172.87799
TEST_0235,98.49036
TEST_0236,47.707005
TEST_0237,185.35966
TEST_0238,138.82489
TEST_0239,63.65465
TEST_0240,43.82331
TEST_0241,44.954567
TEST_0242,794.31525
TEST_0243,189.44623
TEST_0244,463.40927
TEST_0245,116.571304
TEST_0246,101.2318
TEST_0247,63.677055
TEST_0248,152.6955
TEST_0249,100.64865
TEST_0250,55.064735
TEST_0251,348.88422
TEST_0252,119.74731
TEST_0253,66.61552
TEST_0254,518.85297
TEST_0255,579.1539
TEST_0256,77.166046
TEST_0257,1213.5791
TEST_0258,93.40964
TEST_0259,316.0869
TEST_0260,36.738243
TEST_0261,588.24835
TEST_0262,969.7907
TEST_0263,84.92407
TEST_0264,106.49786
TEST_0265,86.81667
TEST_0266,516.8352
TEST_0267,370.966
TEST_0268,17.306458
TEST_0269,521.64825
TEST_0270,411.98648
TEST_0271,62.493977
TEST_0272,47.530167
TEST_0273,145.99144
TEST_0274,148.46478
TEST_0275,54.059284
TEST_0276,325.43857
TEST_0277,233.5018
TEST_0278,71.34493
TEST_0279,577.12744
TEST_0280,58.398663
TEST_0281,48.912537
TEST_0282,195.97696
TEST_0283,75.28112
TEST_0284,123.38503
TEST_0285,48.698097
TEST_0286,313.56326
TEST_0287,49.06933
TEST_0288,132.92824
TEST_0289,112.80137
TEST_0290,485.39404
TEST_0291,43.64008
TEST_0292,221.77821
TEST_0293,195.57187
TEST_0294,27.732388
TEST_0295,272.36456
TEST_0296,18.647652
TEST_0297,70.414696
TEST_0298,748.1587
TEST_0299,238.95352
TEST_0300,49.078983
TEST_0301,138.19794
TEST_0302,623.7454
TEST_0303,139.2974
TEST_0304,526.2295
TEST_0305,262.5688
TEST_0306,90.45947
TEST_0307,44.474762
TEST_0308,159.75978
TEST_0309,489.3278
TEST_0310,62.508137
TEST_0311,48.935368
TEST_0312,75.82012
TEST_0313,327.77167
TEST_0314,60.1473
TEST_0315,45.04505
TEST_0316,152.37119
TEST_0317,23.352854
TEST_0318,357.00833
TEST_0319,177.61664
TEST_0320,39.737713
TEST_0321,23.441795
TEST_0322,334.42322
TEST_0323,155.19315
TEST_0324,61.273914
TEST_0325,291.50726
TEST_0326,1239.0883
TEST_0327,375.72906
TEST_0328,243.50804
TEST_0329,51.234383
TEST_0330,52.75347
TEST_0331,207.3194
TEST_0332,108.122665
TEST_0333,117.857956
TEST_0334,205.33014
TEST_0335,174.53549
TEST_0336,682.10834
TEST_0337,32.37471
TEST_0338,263.84186
TEST_0339,69.52729
TEST_0340,66.37712
TEST_0341,364.3785
TEST_0342,219.78882
TEST_0343,65.28188
TEST_0344,33.98578
TEST_0345,57.076973
TEST_0346,189.90909
TEST_0347,169.02112
TEST_0348,261.21118
TEST_0349,192.82925
TEST_0350,284.7046
TEST_0351,631.82886
TEST_0352,53.423664
TEST_0353,653.7041
TEST_0354,72.33696
TEST_0355,331.05878
TEST_0356,47.734608
TEST_0357,70.03054
TEST_0358,299.94626
TEST_0359,319.2393
TEST_0360,25.062946
TEST_0361,468.18076
TEST_0362,73.89853
TEST_0363,89.75554
TEST_0364,339.56757
TEST_0365,98.01124
TEST_0366,50.609238
TEST_0367,457.30472
TEST_0368,317.16333
TEST_0369,41.832645
TEST_0370,59.617603
TEST_0371,112.11515
TEST_0372,204.43433
TEST_0373,278.36673
TEST_0374,253.81099
TEST_0375,430.4992
TEST_0376,51.4412
TEST_0377,59.131546
TEST_0378,39.10482
TEST_0379,248.60582
TEST_0380,56.779083
TEST_0381,104.37503
TEST_0382,301.13336
TEST_0383,25.090456
TEST_0384,30.149725
TEST_0385,75.01517
TEST_0386,202.7933
TEST_0387,97.78028
TEST_0388,444.0849
TEST_0389,27.22375
TEST_0390,114.82838
TEST_0391,49.926693
TEST_0392,17.45978
TEST_0393,262.5614
TEST_0394,161.47313
TEST_0395,62.830418
TEST_0396,34.74515
TEST_0397,374.91003
TEST_0398,167.73305
TEST_0399,116.685
TEST_0400,55.963833
TEST_0401,93.4483
TEST_0402,39.2163
TEST_0403,47.477646
TEST_0404,148.58682
TEST_0405,102.290016
TEST_0406,108.770096
TEST_0407,22.364847
TEST_0408,95.37874
TEST_0409,97.49788
TEST_0410,43.006256
TEST_0411,170.50209
TEST_0412,293.69745
TEST_0413,428.37012
TEST_0414,20.083466
TEST_0415,323.54654
TEST_0416,255.35114
TEST_0417,140.06345
TEST_0418,31.784546
TEST_0419,61.78207
TEST_0420,59.902206
TEST_0421,147.68895
TEST_0422,717.8874
TEST_0423,48.776558
TEST_0424,599.44366
TEST_0425,229.61253
TEST_0426,48.156002
TEST_0427,481.593
TEST_0428,324.6056
TEST_0429,153.27637
TEST_0430,67.04128
TEST_0431,101.50832
TEST_0432,244.09471
TEST_0433,262.8735
TEST_0434,610.2574
TEST_0435,1148.6012
TEST_0436,97.80114
TEST_0437,413.07834
TEST_0438,196.40334
TEST_0439,451.3428
TEST_0440,285.89224
TEST_0441,168.80598
TEST_0442,45.40768
TEST_0443,75.00432
TEST_0444,108.28812
TEST_0445,30.812065
TEST_0446,69.925255
TEST_0447,461.1177
TEST_0448,39.695736
TEST_0449,763.6644
TEST_0450,320.83612
TEST_0451,208.70294
TEST_0452,236.38145
TEST_0453,379.3155
TEST_0454,135.34447
TEST_0455,163.2827
TEST_0456,475.7461
TEST_0457,119.73319
TEST_0458,735.35474
TEST_0459,585.57294
TEST_0460,1184.0792
TEST_0461,668.3815
TEST_0462,30.98683
TEST_0463,154.77101
TEST_0464,510.2862
TEST_0465,16.466713
TEST_0466,320.87708
TEST_0467,397.2386
TEST_0468,132.53427
TEST_0469,1645.6023
TEST_0470,277.2116
TEST_0471,40.99734
TEST_0472,429.98874
TEST_0473,815.21265
TEST_0474,1017.21
TEST_0475,334.07593
TEST_0476,257.3138
TEST_0477,449.1829
TEST_0478,325.86346
TEST_0479,789.14856
TEST_0480,533.3673
TEST_0481,101.05315
TEST_0482,91.2017
TEST_0483,317.39932
TEST_0484,546.687
TEST_0485,61.048985
TEST_0486,885.2156
TEST_0487,42.27112
TEST_0488,39.00155
TEST_0489,95.055954
TEST_0490,35.682293
TEST_0491,29.87499
TEST_0492,44.127728
TEST_0493,43.12758
TEST_0494,293.7199
TEST_0495,59.173367
TEST_0496,32.511757
TEST_0497,77.927956
TEST_0498,545.20667
TEST_0499,46.330837
TEST_0500,204.99496
TEST_0501,357.9285
TEST_0502,462.9269
TEST_0503,45.143692
TEST_0504,173.15117
TEST_0505,245.30627
TEST_0506,109.08791
TEST_0507,53.091564
TEST_0508,638.63416
TEST_0509,348.7654
TEST_0510,146.96468
TEST_0511,28.161629
TEST_0512,148.72598
TEST_0513,145.06383
TEST_0514,63.80165
TEST_0515,53.404537
TEST_0516,94.996666
TEST_0517,55.741432
TEST_0518,132.05399
TEST_0519,31.88305
TEST_0520,729.60706
TEST_0521,232.2641
TEST_0522,174.43994
TEST_0523,349.5949
TEST_0524,254.0022
TEST_0525,180.92839
TEST_0526,292.45157
TEST_0527,40.648132
TEST_0528,264.22702
TEST_0529,43.80366
TEST_0530,160.97667
TEST_0531,605.5131
TEST_0532,160.29245
TEST_0533,349.56927
TEST_0534,601.10895
TEST_0535,228.32059
TEST_0536,276.32162
TEST_0537,56.317326
TEST_0538,36.716137
TEST_0539,247.52435
TEST_0540,818.3569
TEST_0541,1179.6077
TEST_0542,45.490654
TEST_0543,111.21759
TEST_0544,1584.5287
TEST_0545,180.35364
TEST_0546,826.47406
TEST_0547,47.365215
TEST_0548,1704.3844
TEST_0549,164.27281
TEST_0550,74.447235
TEST_0551,260.63928
TEST_0552,37.22627
TEST_0553,518.0491
TEST_0554,766.00543
TEST_0555,84.36652
TEST_0556,416.08466
TEST_0557,477.13287
TEST_0558,27.176464
TEST_0559,56.353584
TEST_0560,79.24654
TEST_0561,308.60693
TEST_0562,213.65034
TEST_0563,449.52203
TEST_0564,29.608648
TEST_0565,107.71217
TEST_0566,502.07693
TEST_0567,558.30225
TEST_0568,25.632174
TEST_0569,536.05676
TEST_0570,807.11774
TEST_0571,303.66364
TEST_0572,60.55556
TEST_0573,701.3912
TEST_0574,142.54001
TEST_0575,972.60986
TEST_0576,505.81708
TEST_0577,36.07797
TEST_0578,51.528477
TEST_0579,525.3036
TEST_0580,43.536682
TEST_0581,47.863342
TEST_0582,38.631405
TEST_0583,61.79275
TEST_0584,108.364136
TEST_0585,56.921806
TEST_0586,52.816364
TEST_0587,194.4504
TEST_0588,202.29753
TEST_0589,373.26007
TEST_0590,422.85422
TEST_0591,130.05379
TEST_0592,41.4843
TEST_0593,109.876465
TEST_0594,44.60654
TEST_0595,175.98665
TEST_0596,108.59846
TEST_0597,132.99956
TEST_0598,96.86188
TEST_0599,146.5307
TEST_0600,105.823784
TEST_0601,266.16254
TEST_0602,125.05453
TEST_0603,63.747242
TEST_0604,405.6814
TEST_0605,53.543434
TEST_0606,919.14954
TEST_0607,403.35052
TEST_0608,283.11563
TEST_0609,313.779
TEST_0610,37.41585
TEST_0611,61.79822
TEST_0612,35.21687
TEST_0613,52.94364
TEST_0614,231.65024
TEST_0615,53.780724
TEST_0616,64.75633
TEST_0617,59.856834
TEST_0618,375.0857
TEST_0619,55.913246
TEST_0620,62.8105
TEST_0621,103.351906
TEST_0622,464.28668
TEST_0623,177.6264
TEST_0624,280.18658
TEST_0625,39.03085
TEST_0626,412.6936
TEST_0627,400.93707
TEST_0628,405.15875
TEST_0629,489.99182
TEST_0630,167.34639
TEST_0631,278.1684
TEST_0632,132.636
