ID,수요량
TEST_0000,234.09071
TEST_0001,32.736996
TEST_0002,363.85162
TEST_0003,175.33438
TEST_0004,236.45068
TEST_0005,191.77264
TEST_0006,182.36679
TEST_0007,814.9085
TEST_0008,170.97842
TEST_0009,349.34076
TEST_0010,75.95241
TEST_0011,85.508194
TEST_0012,133.2083
TEST_0013,226.0621
TEST_0014,112.27217
TEST_0015,48.633316
TEST_0016,55.719315
TEST_0017,360.77405
TEST_0018,190.8477
TEST_0019,24.495148
TEST_0020,50.805634
TEST_0021,55.1689
TEST_0022,67.783035
TEST_0023,46.22004
TEST_0024,384.1543
TEST_0025,62.36055
TEST_0026,244.9961
TEST_0027,815.7632
TEST_0028,830.2531
TEST_0029,404.47977
TEST_0030,316.95453
TEST_0031,424.4141
TEST_0032,54.892784
TEST_0033,77.74977
TEST_0034,533.7265
TEST_0035,1497.6647
TEST_0036,861.78876
TEST_0037,626.28455
TEST_0038,90.66513
TEST_0039,383.63074
TEST_0040,97.61563
TEST_0041,53.974648
TEST_0042,412.31125
TEST_0043,74.61495
TEST_0044,918.66156
TEST_0045,180.72638
TEST_0046,659.60315
TEST_0047,88.69545
TEST_0048,193.95856
TEST_0049,51.90483
TEST_0050,80.03155
TEST_0051,650.3752
TEST_0052,44.820908
TEST_0053,201.30702
TEST_0054,154.95363
TEST_0055,1148.3247
TEST_0056,40.81362
TEST_0057,133.70448
TEST_0058,277.63675
TEST_0059,2297.0193
TEST_0060,313.25903
TEST_0061,585.6948
TEST_0062,74.32274
TEST_0063,263.3489
TEST_0064,248.65991
TEST_0065,1009.8657
TEST_0066,227.89511
TEST_0067,64.60941
TEST_0068,594.4832
TEST_0069,338.25195
TEST_0070,326.21027
TEST_0071,37.17221
TEST_0072,69.116196
TEST_0073,236.8368
TEST_0074,12.778543
TEST_0075,239.9472
TEST_0076,67.93312
TEST_0077,236.6275
TEST_0078,94.43119
TEST_0079,286.46106
TEST_0080,318.29572
TEST_0081,978.20044
TEST_0082,93.93375
TEST_0083,533.76447
TEST_0084,96.403
TEST_0085,35.70262
TEST_0086,257.44592
TEST_0087,79.49931
TEST_0088,73.27518
TEST_0089,85.58693
TEST_0090,37.856506
TEST_0091,379.42093
TEST_0092,512.5918
TEST_0093,131.40671
TEST_0094,124.50965
TEST_0095,360.6465
TEST_0096,627.7593
TEST_0097,40.79021
TEST_0098,292.20563
TEST_0099,579.03265
TEST_0100,37.088566
TEST_0101,252.04729
TEST_0102,44.14532
TEST_0103,485.50452
TEST_0104,55.229683
TEST_0105,55.36361
TEST_0106,167.46533
TEST_0107,943.6152
TEST_0108,215.54715
TEST_0109,151.94275
TEST_0110,112.80077
TEST_0111,89.044266
TEST_0112,135.21738
TEST_0113,530.2871
TEST_0114,60.17278
TEST_0115,579.1716
TEST_0116,982.0836
TEST_0117,64.69533
TEST_0118,331.3022
TEST_0119,301.95236
TEST_0120,361.62146
TEST_0121,74.19345
TEST_0122,334.36237
TEST_0123,59.280025
TEST_0124,607.70996
TEST_0125,61.986214
TEST_0126,125.513306
TEST_0127,156.16061
TEST_0128,253.48145
TEST_0129,399.0468
TEST_0130,233.082
TEST_0131,80.833336
TEST_0132,294.16245
TEST_0133,189.66147
TEST_0134,94.65729
TEST_0135,570.6977
TEST_0136,52.46478
TEST_0137,6.6995125
TEST_0138,42.41582
TEST_0139,354.26715
TEST_0140,562.7444
TEST_0141,175.91739
TEST_0142,1200.7139
TEST_0143,55.448036
TEST_0144,341.98828
TEST_0145,292.26898
TEST_0146,30.58286
TEST_0147,489.2442
TEST_0148,400.0174
TEST_0149,178.46191
TEST_0150,62.501617
TEST_0151,648.98804
TEST_0152,36.207302
TEST_0153,39.916656
TEST_0154,64.07277
TEST_0155,130.08984
TEST_0156,18.556496
TEST_0157,52.674038
TEST_0158,344.5525
TEST_0159,93.25215
TEST_0160,257.20483
TEST_0161,108.34024
TEST_0162,166.21646
TEST_0163,53.20012
TEST_0164,109.722015
TEST_0165,39.585567
TEST_0166,164.33205
TEST_0167,26.746124
TEST_0168,46.11016
TEST_0169,262.3502
TEST_0170,89.368454
TEST_0171,1058.7925
TEST_0172,207.73927
TEST_0173,504.09766
TEST_0174,385.18097
TEST_0175,471.7959
TEST_0176,357.17728
TEST_0177,49.659973
TEST_0178,79.59334
TEST_0179,494.19122
TEST_0180,131.12656
TEST_0181,256.43924
TEST_0182,509.2289
TEST_0183,31.288952
TEST_0184,353.22186
TEST_0185,191.2675
TEST_0186,619.99896
TEST_0187,47.770264
TEST_0188,365.56305
TEST_0189,90.15604
TEST_0190,104.439
TEST_0191,29.659843
TEST_0192,713.0568
TEST_0193,40.772152
TEST_0194,2535.4731
TEST_0195,113.93169
TEST_0196,23.993826
TEST_0197,25.704788
TEST_0198,251.06131
TEST_0199,276.6963
TEST_0200,409.14825
TEST_0201,34.5158
TEST_0202,46.100403
TEST_0203,250.66217
TEST_0204,93.011345
TEST_0205,184.45978
TEST_0206,262.23804
TEST_0207,133.86256
TEST_0208,369.91656
TEST_0209,61.16437
TEST_0210,44.605915
TEST_0211,86.68541
TEST_0212,218.25797
TEST_0213,389.5506
TEST_0214,484.0403
TEST_0215,49.196613
TEST_0216,531.31494
TEST_0217,85.04317
TEST_0218,48.01503
TEST_0219,502.55365
TEST_0220,654.66876
TEST_0221,699.3915
TEST_0222,110.1905
TEST_0223,85.09076
TEST_0224,146.09438
TEST_0225,154.97644
TEST_0226,151.37268
TEST_0227,206.65692
TEST_0228,19.87356
TEST_0229,465.39856
TEST_0230,63.518223
TEST_0231,486.9224
TEST_0232,92.050354
TEST_0233,230.92865
TEST_0234,221.5085
TEST_0235,80.118515
TEST_0236,55.036762
TEST_0237,88.12628
TEST_0238,153.15222
TEST_0239,89.05306
TEST_0240,35.038357
TEST_0241,34.602962
TEST_0242,1283.1848
TEST_0243,234.01147
TEST_0244,439.04126
TEST_0245,161.93845
TEST_0246,72.754814
TEST_0247,44.5153
TEST_0248,203.07321
TEST_0249,68.090416
TEST_0250,48.10826
TEST_0251,350.91547
TEST_0252,221.37103
TEST_0253,88.90325
TEST_0254,526.62146
TEST_0255,603.7362
TEST_0256,82.94292
TEST_0257,1256.2648
TEST_0258,119.23341
TEST_0259,278.7819
TEST_0260,31.309223
TEST_0261,632.4254
TEST_0262,1009.9372
TEST_0263,99.96684
TEST_0264,111.772415
TEST_0265,72.832466
TEST_0266,761.0488
TEST_0267,386.62827
TEST_0268,18.952887
TEST_0269,489.5951
TEST_0270,292.02264
TEST_0271,104.22493
TEST_0272,51.23281
TEST_0273,121.99037
TEST_0274,152.14056
TEST_0275,51.1068
TEST_0276,219.64148
TEST_0277,266.8107
TEST_0278,76.88412
TEST_0279,393.53705
TEST_0280,64.41498
TEST_0281,53.003212
TEST_0282,186.89005
TEST_0283,63.30964
TEST_0284,95.35483
TEST_0285,25.233448
TEST_0286,335.93784
TEST_0287,21.111881
TEST_0288,111.5679
TEST_0289,111.31773
TEST_0290,482.73865
TEST_0291,39.38144
TEST_0292,156.56271
TEST_0293,207.89996
TEST_0294,39.42722
TEST_0295,254.94037
TEST_0296,14.999103
TEST_0297,72.978966
TEST_0298,983.28015
