ID,수요량
TEST_0000,219.8071
TEST_0001,44.309624
TEST_0002,296.47916
TEST_0003,191.62787
TEST_0004,229.02512
TEST_0005,222.33495
TEST_0006,179.6716
TEST_0007,796.4254
TEST_0008,211.42691
TEST_0009,363.48267
TEST_0010,81.94738
TEST_0011,81.98133
TEST_0012,148.63893
TEST_0013,233.96231
TEST_0014,103.12263
TEST_0015,60.749233
TEST_0016,56.38624
TEST_0017,311.2678
TEST_0018,138.95612
TEST_0019,34.99339
TEST_0020,63.67599
TEST_0021,75.79928
TEST_0022,67.20958
TEST_0023,42.48174
TEST_0024,376.4639
TEST_0025,60.71227
TEST_0026,216.13899
TEST_0027,786.1138
TEST_0028,757.551
TEST_0029,371.7416
TEST_0030,348.32297
TEST_0031,392.72833
TEST_0032,67.76871
TEST_0033,64.103745
TEST_0034,502.12714
TEST_0035,1413.3252
TEST_0036,702.4512
TEST_0037,709.65576
TEST_0038,89.480965
TEST_0039,352.64752
TEST_0040,87.50588
TEST_0041,52.103405
TEST_0042,422.42773
TEST_0043,64.28561
TEST_0044,897.5095
TEST_0045,214.86633
TEST_0046,749.7689
TEST_0047,107.927704
TEST_0048,142.00804
TEST_0049,58.79003
TEST_0050,69.03736
TEST_0051,625.5198
TEST_0052,48.743412
TEST_0053,204.97458
TEST_0054,165.9946
TEST_0055,1110.809
TEST_0056,46.992203
TEST_0057,104.84249
TEST_0058,312.6799
TEST_0059,2042.696
TEST_0060,367.15195
TEST_0061,626.83075
TEST_0062,75.553406
TEST_0063,363.91876
TEST_0064,243.98169
TEST_0065,946.42944
TEST_0066,214.06624
TEST_0067,64.5925
TEST_0068,716.06946
TEST_0069,362.84036
TEST_0070,206.09322
TEST_0071,46.984825
TEST_0072,77.66218
TEST_0073,267.40857
TEST_0074,32.099674
TEST_0075,242.19199
TEST_0076,63.6446
TEST_0077,222.07123
TEST_0078,168.72606
TEST_0079,369.50143
TEST_0080,323.25354
TEST_0081,963.5597
TEST_0082,104.52278
TEST_0083,664.92285
TEST_0084,80.72059
TEST_0085,45.070183
TEST_0086,202.241
TEST_0087,82.74623
TEST_0088,55.870613
TEST_0089,67.24278
TEST_0090,47.77081
TEST_0091,375.101
TEST_0092,484.9444
TEST_0093,179.55753
TEST_0094,159.15726
TEST_0095,371.76807
TEST_0096,714.2288
TEST_0097,46.913765
TEST_0098,316.11398
TEST_0099,606.5933
TEST_0100,71.96963
TEST_0101,217.68896
TEST_0102,47.938988
TEST_0103,521.6943
TEST_0104,61.04004
TEST_0105,54.78824
TEST_0106,171.14095
TEST_0107,894.23706
TEST_0108,199.01907
TEST_0109,141.18341
TEST_0110,111.20603
TEST_0111,93.904175
TEST_0112,125.27371
TEST_0113,494.56104
TEST_0114,60.46682
TEST_0115,591.99066
TEST_0116,987.16223
TEST_0117,63.35717
TEST_0118,255.36734
TEST_0119,235.15881
TEST_0120,409.0861
TEST_0121,92.79592
TEST_0122,371.00552
TEST_0123,64.966095
TEST_0124,718.3707
TEST_0125,76.823685
TEST_0126,154.50136
TEST_0127,141.16307
TEST_0128,276.35486
TEST_0129,426.48187
TEST_0130,233.56358
TEST_0131,77.47525
TEST_0132,302.01276
TEST_0133,218.6716
TEST_0134,85.86731
TEST_0135,641.6658
TEST_0136,75.16028
TEST_0137,35.523323
TEST_0138,45.739933
TEST_0139,314.0022
TEST_0140,503.1029
TEST_0141,175.2134
TEST_0142,1248.8584
TEST_0143,62.067066
TEST_0144,418.69302
TEST_0145,274.45477
TEST_0146,43.816647
TEST_0147,376.02866
TEST_0148,432.69016
TEST_0149,168.42181
TEST_0150,58.15059
TEST_0151,672.6549
TEST_0152,44.091187
TEST_0153,51.670784
TEST_0154,63.6596
TEST_0155,108.86087
TEST_0156,29.413605
TEST_0157,56.30754
TEST_0158,369.5061
TEST_0159,98.14151
TEST_0160,261.55304
TEST_0161,110.692635
TEST_0162,195.38327
TEST_0163,62.11697
TEST_0164,74.59152
TEST_0165,53.639656
TEST_0166,245.43585
TEST_0167,41.420815
TEST_0168,83.227585
TEST_0169,222.30777
TEST_0170,84.5013
TEST_0171,1151.5371
TEST_0172,214.26843
TEST_0173,447.29834
TEST_0174,389.33807
TEST_0175,442.66992
TEST_0176,417.19415
TEST_0177,50.286106
TEST_0178,102.49199
TEST_0179,431.5921
TEST_0180,134.24783
