ID,수요량
TEST_0000,226.02481
TEST_0001,42.766533
TEST_0002,330.1333
TEST_0003,162.8291
TEST_0004,209.94623
TEST_0005,202.8779
TEST_0006,189.54448
TEST_0007,839.5721
TEST_0008,169.41158
TEST_0009,365.62012
TEST_0010,82.0142
TEST_0011,85.51592
TEST_0012,131.58138
TEST_0013,208.12613
TEST_0014,102.76581
TEST_0015,51.98721
TEST_0016,53.95028
TEST_0017,375.7903
TEST_0018,204.72708
TEST_0019,34.51513
TEST_0020,62.474007
TEST_0021,80.91856
TEST_0022,62.592438
TEST_0023,45.07708
TEST_0024,387.52478
TEST_0025,61.38725
TEST_0026,235.84302
TEST_0027,793.75214
TEST_0028,786.294
TEST_0029,412.87482
TEST_0030,351.222
TEST_0031,436.10974
TEST_0032,63.20446
TEST_0033,67.84372
TEST_0034,450.21228
TEST_0035,1490.1699
TEST_0036,877.9192
TEST_0037,678.04645
TEST_0038,91.10971
TEST_0039,397.92
TEST_0040,90.48351
TEST_0041,45.668373
TEST_0042,400.4499
TEST_0043,59.577682
TEST_0044,889.0853
TEST_0045,187.4501
TEST_0046,677.7534
TEST_0047,96.22114
TEST_0048,205.37308
TEST_0049,51.557
TEST_0050,70.55681
TEST_0051,678.8934
TEST_0052,47.599754
TEST_0053,217.76807
TEST_0054,153.12767
TEST_0055,1158.0536
TEST_0056,40.858818
TEST_0057,100.13402
TEST_0058,286.10654
TEST_0059,2318.3335
TEST_0060,333.02896
TEST_0061,613.73926
TEST_0062,64.211044
TEST_0063,277.08496
TEST_0064,227.82867
TEST_0065,968.7114
TEST_0066,212.38292
TEST_0067,64.216644
TEST_0068,603.39844
TEST_0069,366.28162
TEST_0070,229.3751
TEST_0071,44.65181
TEST_0072,65.271
TEST_0073,205.89047
TEST_0074,32.773727
TEST_0075,243.83209
TEST_0076,62.219204
TEST_0077,238.74506
TEST_0078,122.67874
TEST_0079,332.45374
TEST_0080,320.5286
TEST_0081,1028.4972
TEST_0082,98.653076
TEST_0083,526.3542
TEST_0084,83.34458
TEST_0085,51.554333
TEST_0086,263.1802
TEST_0087,73.532104
TEST_0088,58.586052
TEST_0089,65.8123
TEST_0090,42.428234
TEST_0091,389.70837
TEST_0092,475.52954
TEST_0093,153.72873
TEST_0094,146.21097
TEST_0095,395.02472
TEST_0096,601.8758
TEST_0097,49.27945
TEST_0098,283.2323
TEST_0099,598.5443
TEST_0100,57.13683
TEST_0101,297.45905
TEST_0102,46.008343
TEST_0103,477.5398
TEST_0104,65.371315
TEST_0105,58.846344
TEST_0106,170.76228
TEST_0107,1150.6407
TEST_0108,195.05748
TEST_0109,131.18776
TEST_0110,109.461235
TEST_0111,81.01593
TEST_0112,132.1081
TEST_0113,508.09467
TEST_0114,63.077553
TEST_0115,538.3458
TEST_0116,901.356
TEST_0117,56.43026
TEST_0118,339.4167
TEST_0119,290.86105
TEST_0120,391.038
TEST_0121,70.22681
TEST_0122,351.52344
TEST_0123,61.887466
TEST_0124,542.5002
TEST_0125,70.25099
TEST_0126,141.87273
TEST_0127,147.25735
TEST_0128,224.37405
TEST_0129,394.38953
TEST_0130,249.0779
