ID,수요량
TEST_0000,196.18571
TEST_0001,41.916473
TEST_0002,381.84674
TEST_0003,181.08853
TEST_0004,224.77457
TEST_0005,201.49326
TEST_0006,151.8472
TEST_0007,814.53503
TEST_0008,175.08421
TEST_0009,359.87384
TEST_0010,71.729256
TEST_0011,84.47359
TEST_0012,159.24628
TEST_0013,227.7536
TEST_0014,92.43286
TEST_0015,53.83554
TEST_0016,57.097496
TEST_0017,330.39423
TEST_0018,105.371925
TEST_0019,16.729872
TEST_0020,65.094055
TEST_0021,60.6783
TEST_0022,67.36477
TEST_0023,38.497593
TEST_0024,367.6645
TEST_0025,63.784363
TEST_0026,208.24448
TEST_0027,801.4718
TEST_0028,770.72003
TEST_0029,370.5735
TEST_0030,326.44482
TEST_0031,368.04773
TEST_0032,48.624023
TEST_0033,83.96036
TEST_0034,596.59064
TEST_0035,1463.773
TEST_0036,812.834
TEST_0037,607.2783
TEST_0038,88.50415
TEST_0039,401.82068
TEST_0040,68.897
TEST_0041,47.439144
TEST_0042,445.01056
TEST_0043,77.92018
TEST_0044,958.3947
TEST_0045,184.05911
TEST_0046,693.9487
TEST_0047,101.88239
TEST_0048,145.04395
TEST_0049,60.109993
TEST_0050,82.4986
TEST_0051,605.2522
TEST_0052,49.075737
TEST_0053,187.67322
TEST_0054,165.5794
TEST_0055,1030.861
TEST_0056,44.528484
TEST_0057,146.54868
TEST_0058,280.37897
TEST_0059,2229.2207
TEST_0060,361.9178
TEST_0061,610.8733
TEST_0062,68.05673
TEST_0063,272.48334
TEST_0064,242.61545
TEST_0065,946.1231
TEST_0066,204.33377
TEST_0067,67.56274
TEST_0068,602.7662
TEST_0069,349.6325
TEST_0070,348.0184
TEST_0071,32.845654
TEST_0072,78.23454
TEST_0073,258.06635
TEST_0074,13.941322
TEST_0075,220.50974
TEST_0076,58.38044
TEST_0077,192.16672
TEST_0078,123.63249
TEST_0079,295.86945
TEST_0080,309.17276
TEST_0081,950.3866
TEST_0082,102.1994
TEST_0083,551.0115
TEST_0084,100.13347
TEST_0085,22.183407
TEST_0086,230.76253
TEST_0087,79.12033
TEST_0088,72.85876
TEST_0089,81.08164
TEST_0090,41.359425
TEST_0091,373.84772
TEST_0092,509.90448
TEST_0093,133.22867
TEST_0094,126.40632
TEST_0095,359.82678
TEST_0096,643.3184
TEST_0097,36.37174
TEST_0098,318.6667
TEST_0099,584.3167
TEST_0100,68.26906
TEST_0101,211.42581
TEST_0102,48.073257
TEST_0103,540.8832
TEST_0104,63.37894
TEST_0105,52.747063
TEST_0106,182.75285
TEST_0107,743.2737
TEST_0108,233.96791
TEST_0109,166.09772
TEST_0110,102.313126
TEST_0111,98.15242
TEST_0112,138.73274
TEST_0113,572.0447
TEST_0114,51.8808
TEST_0115,589.38654
TEST_0116,1021.87134
TEST_0117,60.233578
TEST_0118,287.61682
TEST_0119,283.77472
TEST_0120,394.09656
TEST_0121,70.115204
TEST_0122,333.1977
TEST_0123,66.34999
TEST_0124,697.83484
TEST_0125,53.864353
TEST_0126,137.98315
TEST_0127,156.87195
TEST_0128,240.35364
TEST_0129,447.30988
TEST_0130,205.76208
TEST_0131,65.7108
TEST_0132,264.26807
TEST_0133,207.16498
TEST_0134,98.33606
TEST_0135,597.9755
TEST_0136,62.031418
TEST_0137,26.103775
TEST_0138,37.51126
TEST_0139,292.223
TEST_0140,510.9491
TEST_0141,186.66907
TEST_0142,1179.2599
TEST_0143,54.03161
TEST_0144,391.66623
