ID,수요량
TEST_0000,221.39728
TEST_0001,49.50051
TEST_0002,363.94223
TEST_0003,176.42163
TEST_0004,215.03644
TEST_0005,198.6836
TEST_0006,166.39102
TEST_0007,856.7695
TEST_0008,173.41782
TEST_0009,340.3797
TEST_0010,95.74596
TEST_0011,92.34868
TEST_0012,136.19896
TEST_0013,196.43015
TEST_0014,109.10142
TEST_0015,51.579895
TEST_0016,47.554977
TEST_0017,398.81372
TEST_0018,153.02118
TEST_0019,27.840393
TEST_0020,74.03627
TEST_0021,72.27095
TEST_0022,69.17938
TEST_0023,42.25176
TEST_0024,390.1773
TEST_0025,62.10098
TEST_0026,244.19916
TEST_0027,760.33704
TEST_0028,802.4564
TEST_0029,416.49908
TEST_0030,333.3106
TEST_0031,431.69955
TEST_0032,68.15892
TEST_0033,67.459656
TEST_0034,479.29874
TEST_0035,1517.9047
TEST_0036,1045.2073
TEST_0037,639.64484
TEST_0038,95.00624
TEST_0039,419.7427
TEST_0040,86.2232
TEST_0041,51.204807
TEST_0042,426.9589
TEST_0043,66.02602
TEST_0044,987.5609
TEST_0045,187.3255
TEST_0046,664.3539
TEST_0047,90.81377
TEST_0048,197.58325
TEST_0049,57.347244
TEST_0050,70.19785
TEST_0051,669.795
TEST_0052,42.885014
TEST_0053,190.8287
TEST_0054,155.48016
TEST_0055,1171.4464
TEST_0056,43.568714
TEST_0057,114.46556
TEST_0058,263.2522
TEST_0059,2324.919
TEST_0060,317.40375
TEST_0061,668.0255
TEST_0062,62.501366
TEST_0063,250.60394
TEST_0064,221.29427
TEST_0065,1050.5177
TEST_0066,206.5902
TEST_0067,63.52197
TEST_0068,596.14136
TEST_0069,385.2368
TEST_0070,304.47906
TEST_0071,49.763687
TEST_0072,73.41724
TEST_0073,213.86487
TEST_0074,19.861618
TEST_0075,212.43585
TEST_0076,61.086136
TEST_0077,252.55576
TEST_0078,112.80084
TEST_0079,296.16998
TEST_0080,320.12485
TEST_0081,997.7525
TEST_0082,109.16719
TEST_0083,493.67432
TEST_0084,91.84288
TEST_0085,33.897003
TEST_0086,265.82538
TEST_0087,74.668365
TEST_0088,68.270706
TEST_0089,69.59589
TEST_0090,43.800564
TEST_0091,409.0238
TEST_0092,502.55933
TEST_0093,118.54881
TEST_0094,126.270584
TEST_0095,398.14905
TEST_0096,571.90985
TEST_0097,49.639458
TEST_0098,288.79617
TEST_0099,650.78735
TEST_0100,49.233322
TEST_0101,214.02975
TEST_0102,43.975147
TEST_0103,467.55255
TEST_0104,90.76815
TEST_0105,56.734295
TEST_0106,151.81009
TEST_0107,911.09436
TEST_0108,205.2226
TEST_0109,134.34946
TEST_0110,107.63335
TEST_0111,92.69997
TEST_0112,142.20834
TEST_0113,552.7728
TEST_0114,55.270332
TEST_0115,633.6655
TEST_0116,928.0313
TEST_0117,58.59356
TEST_0118,286.24054
TEST_0119,300.29047
TEST_0120,390.26764
TEST_0121,60.974987
TEST_0122,347.0633
TEST_0123,60.018673
TEST_0124,607.43066
TEST_0125,59.81709
