ID,수요량
TEST_0000,221.27344
TEST_0001,49.161903
TEST_0002,364.2434
TEST_0003,176.12807
TEST_0004,214.1834
TEST_0005,198.0357
TEST_0006,166.15108
TEST_0007,857.0098
TEST_0008,173.41708
TEST_0009,340.53644
TEST_0010,95.035324
TEST_0011,92.12512
TEST_0012,136.11938
TEST_0013,196.28134
TEST_0014,108.65755
TEST_0015,51.38215
TEST_0016,47.4266
TEST_0017,398.21753
TEST_0018,153.19096
TEST_0019,27.905113
TEST_0020,73.78826
TEST_0021,72.13904
TEST_0022,68.8781
TEST_0023,41.984097
TEST_0024,389.8614
TEST_0025,61.706367
TEST_0026,244.32866
TEST_0027,759.9376
TEST_0028,802.5089
TEST_0029,416.93304
TEST_0030,334.02588
TEST_0031,432.2395
TEST_0032,67.93102
TEST_0033,67.74813
TEST_0034,478.61697
TEST_0035,1519.186
TEST_0036,1043.1072
TEST_0037,640.09674
TEST_0038,94.75912
TEST_0039,419.54364
TEST_0040,86.19574
TEST_0041,50.88835
TEST_0042,426.78723
TEST_0043,66.06468
TEST_0044,988.6585
TEST_0045,187.49176
TEST_0046,664.67554
TEST_0047,90.74161
TEST_0048,196.7134
TEST_0049,56.94648
TEST_0050,70.17026
TEST_0051,669.697
TEST_0052,42.970577
TEST_0053,190.48346
TEST_0054,155.55666
TEST_0055,1171.3711
TEST_0056,43.110435
TEST_0057,114.047745
TEST_0058,263.25055
TEST_0059,2327.834
TEST_0060,318.0302
TEST_0061,667.6558
TEST_0062,62.267357
TEST_0063,250.85065
TEST_0064,221.1849
TEST_0065,1050.0841
TEST_0066,206.44159
TEST_0067,63.394142
TEST_0068,595.8847
TEST_0069,385.35004
TEST_0070,304.08435
TEST_0071,49.71405
TEST_0072,73.17973
TEST_0073,212.78604
TEST_0074,20.361992
TEST_0075,212.06238
TEST_0076,61.284325
TEST_0077,252.46889
TEST_0078,112.62671
TEST_0079,296.04428
TEST_0080,320.09564
TEST_0081,997.17444
TEST_0082,108.91727
TEST_0083,492.46985
TEST_0084,91.45768
TEST_0085,33.617287
TEST_0086,265.86472
TEST_0087,74.29756
TEST_0088,68.099075
TEST_0089,69.51195
TEST_0090,43.617195
TEST_0091,409.18567
TEST_0092,502.5567
TEST_0093,118.84635
TEST_0094,126.48337
TEST_0095,398.13617
TEST_0096,571.53955
TEST_0097,49.497913
TEST_0098,288.30075
TEST_0099,649.88245
TEST_0100,49.39023
TEST_0101,214.51465
TEST_0102,43.698685
TEST_0103,467.56854
TEST_0104,90.43576
TEST_0105,56.720524
TEST_0106,151.41899
TEST_0107,911.34265
TEST_0108,204.724
TEST_0109,134.18623
TEST_0110,107.77017
TEST_0111,92.526245
TEST_0112,141.96805
TEST_0113,552.2797
TEST_0114,55.226017
TEST_0115,633.8673
TEST_0116,927.3026
TEST_0117,58.451538
TEST_0118,286.87274
TEST_0119,300.31287
TEST_0120,390.22406
TEST_0121,61.040436
TEST_0122,347.46048
TEST_0123,59.856556
TEST_0124,606.70544
TEST_0125,59.858166
TEST_0126,131.64043
TEST_0127,167.09589
TEST_0128,240.31737
TEST_0129,386.11176
TEST_0130,243.81317
TEST_0131,82.62424
TEST_0132,291.60034
TEST_0133,177.45221
TEST_0134,89.30443
TEST_0135,569.1354
TEST_0136,56.143616
TEST_0137,29.729616
TEST_0138,44.915306
TEST_0139,386.96658
TEST_0140,568.0886
TEST_0141,196.16333
TEST_0142,1272.4545
TEST_0143,65.777695
TEST_0144,395.4344
TEST_0145,273.85052
TEST_0146,38.275833
TEST_0147,458.60895
TEST_0148,394.1046
TEST_0149,176.60046
