iter	Passed	Remaining
0	96	192202
1	164	164165
2	244	162996
3	319	159372
4	384	153566
5	453	150604
6	534	152303
7	607	151181
8	674	149255
9	752	149840
10	822	148736
11	902	149465
12	971	148456
13	1035	146860
14	1096	145161
15	1156	143371
16	1223	142764
17	1287	141731
18	1339	139710
19	1406	139261
20	1472	138720
21	1526	137209
22	1578	135659
23	1631	134366
24	1688	133395
25	1743	132385
26	1799	131475
27	1856	130718
28	1909	129775
29	1962	128883
30	2019	128300
31	2081	127984
32	2136	127350
33	2196	126998
34	2252	126477
35	2303	125657
36	2363	125382
37	2416	124762
38	2477	124564
39	2537	124348
40	2596	124081
41	2655	123784
42	2716	123647
43	2771	123202
44	2826	122789
45	2881	122389
46	2937	122068
47	2995	121799
48	3050	121474
49	3105	121121
50	3164	120920
51	3224	120792
52	3281	120562
53	3340	120398
54	3400	120245
55	3454	119932
56	3503	119425
57	3549	118843
58	3602	118509
59	3657	118255
60	3714	118070
61	3768	117808
62	3822	117531
63	3882	117435
64	3943	117395
65	3997	117126
66	4052	116908
67	4109	116751
68	4173	116797
69	4225	116502
70	4282	116338
71	4335	116107
72	4391	115914
73	4448	115794
74	4503	115600
75	4562	115498
76	4621	115425
77	4679	115299
78	4735	115148
79	4793	115045
80	4850	114909
81	4907	114776
82	4967	114724
83	5022	114552
84	5076	114378
85	5138	114362
86	5198	114316
87	5256	114202
88	5310	114026
89	5359	113737
90	5419	113696
91	5471	113468
92	5520	113199
93	5575	113049
94	5627	112848
95	5677	112595
96	5737	112562
97	5793	112448
98	5851	112363
99	5908	112260
100	5967	112208
101	6024	112101
102	6082	112020
103	6141	111967
104	6193	111773
105	6248	111647
106	6302	111507
107	6357	111373
108	6412	111255
109	6468	111135
110	6526	111072
111	6583	110971
112	6642	110915
113	6698	110816
114	6757	110772
115	6812	110644
116	6868	110542
117	6924	110431
118	6988	110470
119	7052	110481
120	7108	110388
121	7170	110382
122	7227	110289
123	7282	110175
124	7342	110130
125	7404	110130
126	7465	110107
127	7530	110136
128	7597	110190
129	7656	110136
130	7719	110137
131	7783	110146
132	7845	110135
133	7902	110041
134	7958	109949
135	8020	109933
136	8083	109921
137	8145	109910
138	8201	109806
139	8259	109738
140	8316	109647
141	8377	109620
142	8441	109617
143	8497	109527
144	8561	109532
145	8625	109535
146	8691	109564
147	8754	109549
148	8816	109523
149	8872	109428
150	8929	109344
151	8989	109288
152	9050	109252
153	9107	109177
154	9171	109173
155	9241	109238
156	9306	109246
157	9368	109214
158	9431	109204
159	9495	109196
160	9558	109177
161	9616	109104
162	9674	109036
163	9736	108997
164	9798	108974
165	9858	108913
166	9917	108856
167	9980	108834
168	10041	108787
169	10100	108724
170	10163	108705
171	10228	108709
172	10291	108682
173	10351	108632
174	10415	108618
175	10478	108599
176	10538	108536
177	10598	108489
178	10657	108423
179	10719	108387
180	10779	108329
181	10844	108320
