iter	Passed	Remaining
0	625	343617
1	1910	523372
2	2067	376930
3	3147	429607
4	4118	448927
5	4711	427175
6	5295	410788
7	5462	370067
8	5752	345810
9	5999	323952
10	7026	344314
11	8122	364162
12	8286	342289
13	9371	358782
14	10700	381640
15	11713	390939
16	12820	401958
17	14220	420289
18	14521	405837
19	15702	416119
20	15837	398956
21	16089	386152
22	17150	392978
23	17897	392264
24	18045	378953
25	19079	384530
26	19872	384935
27	21093	393248
28	22305	400727
29	23248	402969
30	24311	407021
31	25544	413495
32	26543	415847
33	26923	408608
34	27967	411523
35	29288	418169
36	30600	424278
37	31644	426365
38	32652	427835
39	33665	429237
40	34462	427836
41	34825	421222
42	35027	412997
43	35274	405658
44	36562	410316
45	36984	405226
46	37415	400430
47	37732	394623
48	38165	390219
49	39217	392175
50	39758	389013
51	40128	384310
52	40260	377532
53	41504	381222
54	42216	379947
55	43336	382293
56	43510	376323
57	44480	377314
58	44637	371478
59	45865	374568
60	46988	376678
61	48765	383828
62	50037	386798
63	51370	390097
64	52321	390396
65	53663	393532
66	56128	404624
67	56854	402998
68	58391	407047
69	59693	409327
70	60692	409457
71	60762	403394
72	62073	405606
73	63027	405422
74	63977	405191
75	65178	406506
76	66467	408297
77	67544	408727
78	67695	403604
79	68714	403695
80	68772	398200
81	68814	392745
82	70272	395389
83	70436	390755
84	70825	387456
85	72472	391016
86	73997	393805
87	74602	391663
88	75612	391653
89	76022	388560
90	77513	390975
91	79061	393588
92	79594	391123
93	80949	392691
94	82146	393438
95	82856	391843
96	84062	392582
97	85210	393010
98	85365	388889
99	86364	388640
100	87444	388736
101	88113	387006
102	88627	384625
103	89584	384180
104	90820	384905
105	91932	385074
106	93176	385766
107	94384	386278
108	94807	383577
109	96317	385269
110	97406	385239
111	99358	388563
112	100117	387178
113	101153	386867
114	102220	386661
115	102776	384527
116	104097	385250
117	105650	386789
118	105719	382899
119	105969	379723
120	106010	375856
121	106285	372871
122	106867	370995
123	107671	369903
124	107717	366238
125	107850	362924
126	108802	362388
127	108955	359211
128	110442	360435
129	111957	361708
130	113315	362436
131	113474	359335
132	113826	356884
133	114898	356700
134	116182	357154
135	116237	353839
136	116944	352541
137	118209	352915
138	119085	352116
139	119153	348950
140	119306	346072
141	119352	342927
142	119397	339822
143	119892	338031
144	120916	337733
145	121187	335341
146	122086	334701
147	122980	334042
148	123272	331760
149	123428	329142
150	124102	327926
151	125355	328233
152	126914	329315
153	127125	326895
154	127499	324918
155	128747	325169
156	130081	325619
157	131140	325362
158	132410	325614
159	133164	324587
160	133400	322314
161	134417	321937
162	135876	322602
163	137546	323737
164	138737	323721
165	139983	323816
166	141034	323451
167	142152	323227
168	143075	322555
169	144426	322835
170	145074	321538
171	145619	320023
172	146865	320048
173	147888	319575
174	149073	319442
175	149218	317088
176	150820	317829
177	152181	318042
178	152338	315739
179	153442	315409
180	153495	312927
181	153539	310452
182	154791	310429
183	155869	310044
184	156917	309594
185	156972	307192
186	157809	306335
187	159323	306782
188	159748	305128
189	159883	302937
190	159927	300595
191	159971	298281
192	160900	297625
193	161689	296707
194	162903	296567
195	164458	297031
196	164534	294825
197	164816	293007
198	165243	291458
199	165284	289248
200	166413	288947
201	166953	287622
202	167320	286010
203	168393	285608
204	169417	285116
205	170749	285134
206	171605	284350
207	172604	283801
208	173853	283655
209	174148	281954
210	175225	281522
211	175282	279460
212	175422	277546
213	176204	276656
214	177112	275966
215	178353	275788
216	180141	276438
217	181326	276148
218	182323	275566
219	182389	273584
220	183335	272928
221	184605	272751
222	185610	272173
223	186133	270891
224	187038	270166
225	188485	270218
226	188545	268282
227	188705	266504
228	189698	265909
229	190786	265442
230	191846	264931
231	193087	264663
232	193612	263412
233	194806	263072
234	194991	261372
235	196311	261194
236	197035	260219
237	198687	260463
238	199286	259323
239	200242	258646
240	200391	256933
241	201047	255879
242	201091	254054
243	201965	253284
244	202551	252155
245	203575	251572
246	203845	250062
247	203888	248283
248	204151	246785
249	205532	246638
250	206412	245886
251	206479	244170
252	208005	244180
253	208847	243381
254	209197	242012
255	210375	241603
256	211207	240793
257	211252	239091
258	211295	237401
259	212366	236870
260	212527	235327
261	213036	234177
262	214235	233784
263	215576	233541
264	216679	233032
265	217881	232625
266	217937	230997
267	218094	229487
268	219018	228789
269	219181	227299
270	220511	227021
271	221419	226303
272	221717	224966
273	222872	224499
274	224071	224071
275	224245	222620
276	224619	221375
277	225016	220160
278	225059	218606
279	226230	218151
280	226642	216964
281	226686	215432
282	226729	213910
283	227837	213397
284	227882	211890
285	229366	211722
286	230530	211252
287	231316	210434
288	231366	208950
289	232590	208529
290	233395	207730
291	233442	206260
292	234356	205561
293	235715	205249
294	236097	204084
295	237154	203504
296	238235	202941
297	239997	202950
298	241430	202672
299	242705	202254
300	243194	201180
301	245021	201209
302	246103	200618
303	247302	200120
304	248665	199747
305	248944	198505
306	250703	198439
307	251728	197786
308	252779	197151
309	253485	196246
310	254510	195588
311	255429	194846
312	256157	193959
313	257272	193364
314	258725	193017
315	259324	192031
316	259463	190709
317	259842	189570
318	260976	188983
319	261129	187686
320	262200	187052
321	263463	186551
322	264532	185909
323	264805	184709
324	265886	184074
325	267011	183467
326	268135	182856
327	269431	182358
328	270721	181852
329	271956	181304
330	273226	180775
331	274472	180225
332	275924	179806
333	277119	179215
334	278349	178642
335	279539	178039
336	280694	177412
337	281773	176733
338	282917	176093
339	284141	175499
340	285691	175101
341	286832	174447
342	288262	173966
343	289353	173275
344	290549	172645
345	291599	171925
346	292730	171251
347	293975	170640
348	295599	170245
349	296795	169597
350	298039	168973
351	299446	168438
352	300880	167913
353	301961	167187
354	303648	166792
355	305239	166338
356	306437	165665
357	308043	165207
358	309212	164511
359	310716	163989
360	311827	163255
361	313036	162571
362	314004	161760
363	315111	161018
364	316253	160292
365	317317	159525
366	318564	158848
