iter	MAE	RMSE
0	1.839160812	2.048334136
1	1.773507447	1.982566895
2	1.712312588	1.920323526
3	1.652977547	1.860032981
4	1.598402635	1.80526906
5	1.565991241	1.773299905
6	1.520165873	1.727930049
7	1.473733669	1.681874825
8	1.453650624	1.662365399
9	1.418590616	1.628064507
10	1.375271944	1.585372183
11	1.355252014	1.566306154
12	1.317677992	1.529793664
13	1.2846782	1.498097742
14	1.254731541	1.469733168
15	1.232521936	1.448933606
16	1.200151559	1.41809864
17	1.171221813	1.391204707
18	1.142726596	1.364409882
19	1.114958528	1.338910861
20	1.10539053	1.330872472
21	1.091971595	1.319601851
22	1.079393011	1.308002315
23	1.056603234	1.287711916
24	1.034717859	1.268726608
25	1.012657834	1.249046981
26	0.9951267494	1.234268018
27	0.9735254535	1.215712005
28	0.9631238545	1.207564257
29	0.9555460801	1.201636708
30	0.9378447036	1.18713605
31	0.9184778798	1.17040115
32	0.9093063075	1.163511658
33	0.8986802878	1.155926804
34	0.889203847	1.148428005
35	0.8786484945	1.140424282
36	0.8725774205	1.13616277
37	0.8627990085	1.129171617
38	0.8496920446	1.119646248
39	0.8383988079	1.111926008
40	0.8330799237	1.108033457
41	0.8294463652	1.105926162
42	0.828473274	1.105215952
43	0.8259182868	1.103979116
44	0.8150386388	1.096836075
45	0.8038272569	1.089386422
46	0.8029606346	1.088779556
47	0.8009582393	1.087563785
48	0.7986330777	1.085977182
49	0.7954125577	1.08380086
50	0.7919630318	1.08178868
51	0.7825278652	1.075837902
52	0.7808989172	1.075240264
53	0.7771649659	1.072784362
54	0.7715480163	1.069759439
55	0.7680996378	1.067664441
56	0.7666925435	1.066908476
57	0.7641307301	1.065134087
58	0.7631370705	1.064557416
59	0.7600801416	1.062647789
60	0.7518001883	1.057885849
61	0.7494852582	1.056416862
62	0.7445486372	1.053834837
63	0.7417617962	1.052226815
64	0.7404737481	1.051552443
65	0.7387124025	1.050552057
66	0.7330365483	1.04761518
67	0.7313685238	1.046761631
68	0.729472579	1.045600296
69	0.7245551901	1.042983635
70	0.7226342577	1.042160333
71	0.7226342578	1.042160333
72	0.7202301902	1.040837814
73	0.7185217061	1.039989026
74	0.7171813395	1.039368599
75	0.7159794543	1.038896122
76	0.7141791483	1.037855456
77	0.7127387012	1.037209705
78	0.7122086071	1.03701729
79	0.7109265053	1.036316714
80	0.7109265054	1.036316714
81	0.7109265055	1.036316714
82	0.7095328087	1.035659076
